movie_id,title,movie_rating,release_date,run_time,meta_score,imdb_rating,box_office,director,writer,actor,genre_name
0,The Batman,PG-13,2022-03-04,175,0.0,0.0,0.0,Matt Reeves,Peter Craig,Zoë Kravitz,NA
1,A Day to Die,0,1970-01-01,0,0.0,0.0,0.0,Wes Miller,Scott Mallace,Kevin Dillon,Action
2,He Was Asking for It: A Noir Film,0,2022-04-30,0,0.0,0.0,0.0,Rocky Karlage,Staci Layne Wilson,Rocky Karlage,Action
3,Tyson's Run,PG,2022-03-11,103,0.0,0.0,0.0,Kim Bass,Kim Bass,Major Dodson,Action
4,X,R,2022-03-18,0,0.0,0.0,0.0,Ti West,Ti West,Mia Goth,Action
5,Operation Fortune: Ruse de guerre,0,2022-03-18,0,0.0,0.0,0.0,Guy Ritchie,Marn Davies,Josh Hartnett,Action
6,The Outfit,R,2022-03-18,105,0.0,0.0,0.0,Graham Moore,Johnathan McClain,Zoey Deutch,Action
7,Cheaper by the Dozen,PG,2022-03-18,0,0.0,0.0,0.0,Gail Lerner,Kenya Barris,Zach Braff,Action
8,Alice,0,2022-03-18,100,54.0,5.3,0.0,Krystin Ver Linden,Krystin Ver Linden,Keke Palmer,Animation
9,The Unbreakable Boy,PG,2022-03-18,0,0.0,0.0,0.0,Jon Gunn,Jon Gunn,Zachary Levi,Adventure
10,Umma,0,2022-03-18,0,0.0,0.0,0.0,Iris K. Shim,Iris K. Shim,Sandra Oh,Action
11,The Lost City,0,2022-03-25,92,0.0,0.0,0.0,Adam Nee,Oren Uziel,Sandra Bullock,Action
12,The Duke of Marylebone,0,2022-06-29,100,0.0,0.0,0.0,Mitch Riverman,Mitch Riverman,Ninette Finch,Action
13,Everything Everywhere All at Once,R,2022-03-25,140,0.0,0.0,0.0,Daniel Scheinert,Daniel Scheinert,Michelle Yeoh,Action
14,Morbius,PG-13,2022-04-01,108,0.0,0.0,0.0,Daniel Espinosa,Roy Thomas,Michael Keaton,Animation
15,The Contractor,R,2022-04-01,0,0.0,0.0,0.0,Tarik Saleh,J.P. Davis,Gillian Jacobs,Horror
16,You Won't Be Alone,R,2022-04-01,108,75.0,6.8,0.0,Goran Stolevski,Goran Stolevski,Noomi Rapace,Adventure
17,Iris Warriors,0,2022-04-02,80,0.0,5.1,0.0,Roydon Turner,Roydon Turner,Sven-Eric Muller,Animation
18,Sonic the Hedgehog 2,0,2022-04-08,0,0.0,0.0,0.0,Jeff Fowler,Pat Casey,Idris Elba,Horror
19,Ambulance,R,2022-04-08,0,0.0,0.0,0.0,Michael Bay,Laurits Munch-Petersen,Jake Gyllenhaal,Horror
20,The Cow Who Sang a Song Into the Future,0,2022-01-23,98,0.0,7.0,0.0,Francisca Alegria,Manuela Infante,Mía Maestro,Animation
21,Father Stu,R,2022-04-13,0,0.0,0.0,0.0,Rosalind Ross,Rosalind Ross,Mel Gibson,Animation
22,Fantastic Beasts: The Secrets of Dumbledore,0,2022-04-15,0,0.0,0.0,0.0,David Yates,Steve Kloves,Mads Mikkelsen,Action
23,The Bad Guys,PG,2022-04-22,0,0.0,0.0,0.0,Pierre Perifel,Hilary Winston,Sam Rockwell,Animation
