name,rating,genre,score,director,writer,star,budget,Run,released
The Shining,R,Drama,8.4,Stanley Kubrick,Stephen King,Jack Nicholson,19000000.0,146.0,1980-06-13
The Blue Lagoon,R,Adventure,5.8,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,4500000.0,104.0,1980-07-02
Star Wars: Episode V - The Empire Strikes Back,PG,Action,8.7,Irvin Kershner,Leigh Brackett,Mark Hamill,18000000.0,124.0,1980-06-20
Airplane!,PG,Comedy,7.7,Jim Abrahams,Jim Abrahams,Robert Hays,3500000.0,88.0,1980-07-02
Caddyshack,R,Comedy,7.3,Harold Ramis,Brian Doyle-Murray,Chevy Chase,6000000.0,98.0,1980-07-25
Friday the 13th,R,Horror,6.4,Sean S. Cunningham,Victor Miller,Betsy Palmer,550000.0,95.0,1980-05-09
The Blues Brothers,R,Action,7.9,John Landis,Dan Aykroyd,John Belushi,27000000.0,133.0,1980-06-20
Raging Bull,R,Biography,8.2,Martin Scorsese,Jake LaMotta,Robert De Niro,18000000.0,129.0,1980-12-19
Superman II,PG,Action,6.8,Richard Lester,Jerry Siegel,Gene Hackman,54000000.0,127.0,1981-06-19
The Long Riders,R,Biography,7.0,Walter Hill,Bill Bryden,David Carradine,10000000.0,100.0,1980-05-16
Any Which Way You Can,PG,Action,6.1,Buddy Van Horn,Stanford Sherman,Clint Eastwood,15000000.0,116.0,1980-12-17
The Gods Must Be Crazy,PG,Adventure,7.3,Jamie Uys,Jamie Uys,N!xau,5000000.0,109.0,1984-10-26
Popeye,PG,Adventure,5.3,Robert Altman,Jules Feiffer,Robin Williams,20000000.0,114.0,1980-12-12
Ordinary People,R,Drama,7.7,Robert Redford,Judith Guest,Donald Sutherland,6000000.0,124.0,1980-09-19
Dressed to Kill,R,Crime,7.1,Brian De Palma,Brian De Palma,Michael Caine,6500000.0,104.0,1980-07-25
Somewhere in Time,PG,Drama,7.2,Jeannot Szwarc,Richard Matheson,Christopher Reeve,5100000.0,103.0,1980-10-03
Fame,R,Drama,6.6,Alan Parker,Christopher Gore,Eddie Barth,0.0,134.0,1980-05-16
9 to 5,PG,Comedy,6.9,Colin Higgins,Patricia Resnick,Jane Fonda,10000000.0,109.0,1980-12-19
The Fog,R,Horror,6.8,John Carpenter,John Carpenter,Adrienne Barbeau,1000000.0,89.0,1980-02-08
Stir Crazy,R,Comedy,6.8,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,0.0,111.0,1980-12-12
Cruising,R,Crime,6.5,William Friedkin,William Friedkin,Al Pacino,11000000.0,102.0,1980-02-15
Heaven's Gate,R,Adventure,6.8,Michael Cimino,Michael Cimino,Kris Kristofferson,44000000.0,219.0,1981-04-24
The Final Countdown,PG,Action,6.7,Don Taylor,Thomas Hunter,Kirk Douglas,12000000.0,103.0,1980-08-01
Xanadu,PG,Fantasy,5.3,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,20000000.0,96.0,1980-08-08
Urban Cowboy,PG,Drama,6.4,James Bridges,Aaron Latham,John Travolta,0.0,132.0,1980-06-06
Altered States,R,Horror,6.9,Ken Russell,Paddy Chayefsky,William Hurt,0.0,102.0,1980-12-25
Little Darlings,R,Comedy,6.5,Ron Maxwell,Kimi Peck,Tatum O'Neal,0.0,96.0,1980-03-21
Raise the Titanic,PG,Action,5.0,Jerry Jameson,Adam Kennedy,Jason Robards,36000000.0,115.0,1980-08-01
Brubaker,R,Crime,7.2,Stuart Rosenberg,W.D. Richter,Robert Redford,9000000.0,131.0,1980-06-20
American Gigolo,R,Crime,6.2,Paul Schrader,Paul Schrader,Richard Gere,4800000.0,117.0,1980-02-01
My Bodyguard,PG,Comedy,7.1,Tony Bill,Alan Ormsby,Chris Makepeace,0.0,102.0,1980-09-26
Prom Night,R,Horror,5.4,Paul Lynch,William Gray,Leslie Nielsen,0.0,92.0,1980-07-18
Smokey and the Bandit II,PG,Action,5.3,Hal Needham,Hal Needham,Burt Reynolds,0.0,100.0,1980-08-15
Cattle Annie and Little Britches,PG,Drama,6.1,Lamont Johnson,David Eyre,Scott Glenn,5100000.0,97.0,1981-04-24
Seems Like Old Times,PG,Comedy,6.7,Jay Sandrich,Neil Simon,Goldie Hawn,0.0,102.0,1980-12-19
Private Benjamin,R,Comedy,6.2,Howard Zieff,Nancy Meyers,Goldie Hawn,10000000.0,109.0,1980-10-10
The Hollywood Knights,R,Comedy,6.3,Floyd Mutrux,Floyd Mutrux,Tony Danza,4000000.0,91.0,1980-05-30
Motel Hell,R,Comedy,6.0,Kevin Connor,Robert Jaffe,Rory Calhoun,3000000.0,101.0,1980-10-24
The Jazz Singer,PG,Drama,5.9,Richard Fleischer,Samson Raphaelson,Laurence Olivier,0.0,115.0,1980-12-19
Coal Miner's Daughter,PG,Biography,7.5,Michael Apted,Thomas Rickman,Sissy Spacek,0.0,124.0,1980-03-07
The Watcher in the Woods,PG,Family,6.3,John Hough,Brian Clemens,Bette Davis,0.0,84.0,1981-10-09
Breaker Morant,PG,Drama,7.9,Bruce Beresford,Jonathan Hardy,Edward Woodward,0.0,107.0,1980-07-03
The Stunt Man,R,Action,7.1,Richard Rush,Lawrence B. Marcus,Peter O'Toole,3500000.0,131.0,1980-06-27
Where the Buffalo Roam,R,Biography,6.6,Art Linson,Hunter S. Thompson,Peter Boyle,0.0,99.0,1980-04-25
The Awakening,R,Horror,4.8,Mike Newell,Allan Scott,Charlton Heston,0.0,101.0,1980-10-31
Cheech and Chong's Next Movie,R,Comedy,6.1,Tommy Chong,Tommy Chong,Cheech Marin,0.0,99.0,1980-07-18
The Island,R,Action,5.3,Michael Ritchie,Peter Benchley,Michael Caine,22000000.0,109.0,1980-06-13
The Boogey Man,R,Horror,4.6,Ulli Lommel,Ulli Lommel,Suzanna Love,300000.0,82.0,1980-11-07
The Nude Bomb,PG,Action,5.1,Clive Donner,Mel Brooks,Don Adams,15000000.0,94.0,1980-05-09
Lion of the Desert,PG,Biography,8.3,Moustapha Akkad,David Butler,Anthony Quinn,35000000.0,173.0,1981-05-16
Stardust Memories,PG,Comedy,7.3,Woody Allen,Woody Allen,Woody Allen,10000000.0,89.0,1980-09-26
Melvin and Howard,R,Comedy,6.8,Jonathan Demme,Bo Goldman,Paul Le Mat,7000000.0,95.0,1980-09-19
Can't Stop the Music,PG,Biography,4.2,Nancy Walker,Bronte Woodard,Ray Simpson,20000000.0,124.0,1980-06-20
Bronco Billy,PG,Action,6.1,Clint Eastwood,Dennis Hackin,Clint Eastwood,6500000.0,116.0,1980-06-11
City of Women,R,Comedy,7.0,Federico Fellini,Federico Fellini,Marcello Mastroianni,0.0,139.0,1981-04-08
The Private Eyes,PG,Comedy,6.7,Lang Elliott,Tim Conway,Tim Conway,0.0,91.0,1980-11-21
When Time Ran Out...,PG,Action,4.6,James Goldstone,Gordon Thomas,Paul Newman,20000000.0,121.0,1980-03-28
Oh Heavenly Dog,PG,Comedy,5.4,Joe Camp,Rod Browning,Chevy Chase,6000000.0,103.0,1980-07-11
The Octagon,R,Action,5.1,Eric Karson,Leigh Chapman,Chuck Norris,4000000.0,103.0,1980-08-15
Hangar 18,PG,Sci-Fi,5.3,James L. Conway,Ken Pettus,Darren McGavin,11000000.0,97.0,1981-03-13
Herbie Goes Bananas,G,Adventure,5.0,Vincent McEveety,Don Tait,Charles Martin Smith,0.0,100.0,1980-06-25
The Competition,PG,Drama,6.7,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,0.0,123.0,1980-12-03
It's My Turn,R,Comedy,5.5,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,0.0,91.0,1981-02-05
Honeysuckle Rose,PG,Drama,6.3,Jerry Schatzberg,Gösta Stevens,Willie Nelson,0.0,119.0,1980-07-18
Resurrection,PG,Drama,7.3,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,0.0,103.0,1980-09-26
Fatso,PG,Comedy,6.3,Anne Bancroft,Anne Bancroft,Dom DeLuise,0.0,93.0,1980-02-01
Moscow Does Not Believe in Tears,PG,Comedy,8.1,Vladimir Menshov,Valentin Chernykh,Vera Alentova,900000.0,150.0,1980-02-11
The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,5.1,Piers Haggard,Rudy Dochtermann,Peter Sellers,0.0,100.0,1980-08-08
Serial,R,Comedy,6.6,Bill Persky,Cyra McFadden,Martin Mull,0.0,86.0,1980-03-28
Hero at Large,PG,Comedy,6.0,Martin Davidson,AJ Carothers,John Ritter,0.0,98.0,1980-02-08
Wholly Moses!,PG,Comedy,4.7,Gary Weis,Guy Thomas,Dudley Moore,0.0,103.0,1980-06-13
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,7.3,Bill Melendez,Charles M. Schulz,Scott Beach,0.0,75.0,1980-05-30
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,5.5,Marty Feldman,Marty Feldman,Marty Feldman,0.0,97.0,1980-09-26
Roadie,PG,Comedy,5.2,Alan Rudolph,Big Boy Medlin,Meat Loaf,0.0,106.0,1980-06-13
Just Tell Me What You Want,R,Comedy,5.5,Sidney Lumet,Jay Presson Allen,Ali MacGraw,0.0,112.0,1980-01-18
The Last Flight of Noah's Ark,G,Adventure,5.8,Charles Jarrott,Ernest K. Gann,Elliott Gould,6000000.0,97.0,1980-06-25
Little Miss Marker,PG,Comedy,6.3,Walter Bernstein,Damon Runyon,Walter Matthau,0.0,103.0,1980-03-21
