movie_id,title,movie_rating,release_date,genre_name,Director,Writer,Actors,Language,metascore,imdb_rating,BoxOffice,runtime
0,Spider-Man: No Way Home,PG-13,2021-12-17,"Action, Adventure, Fantasy",Jon Watts,"Chris McKenna, Erik Sommers, Stan Lee","Tom Holland, Zendaya, Benedict Cumberbatch",English,71.0,8.7,720891602,148
1,Shang-Chi and the Legend of the Ten Rings,PG-13,2021-09-03,"Action, Adventure, Fantasy",Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu, Awkwafina, Tony Chiu-Wai Leung","English, Mandarin",71.0,7.5,224543292,132
2,Venom: Let There Be Carnage,PG-13,2021-10-01,"Action, Adventure, Sci-Fi",Andy Serkis,"Kelly Marcel, Tom Hardy","Tom Hardy, Woody Harrelson, Michelle Williams",English,49.0,6.0,213550366,97
3,Black Widow,PG-13,2021-07-09,"Action, Adventure, Sci-Fi",Cate Shortland,"Eric Pearson, Jac Schaeffer, Ned Benson","Scarlett Johansson, Florence Pugh, David Harbour","English, Russian, Norwegian, Hungarian, Macedonian, Finnish",67.0,6.7,183651655,134
4,F9: The Fast Saga,PG-13,2021-06-25,"Action, Crime, Thriller",Justin Lin,"Daniel Casey, Justin Lin, Alfredo Botello","Vin Diesel, Michelle Rodriguez, Jordana Brewster",English,58.0,5.2,173005945,143
5,Eternals,PG-13,2021-11-05,"Action, Adventure, Fantasy",Chloé Zhao,"Chloé Zhao, Patrick Burleigh, Ryan Firpo","Gemma Chan, Richard Madden, Angelina Jolie","English, American Sign , Marathi, Spanish, Sumerian, Latin, Greek, Ancient (to 1453)",52.0,6.4,164870234,156
6,No Time to Die,PG-13,2021-10-08,"Action, Adventure, Thriller",Cary Joji Fukunaga,"Neal Purvis, Robert Wade, Cary Joji Fukunaga","Daniel Craig, Ana de Armas, Rami Malek","English, French, Italian, Russian, Spanish, German",68.0,7.3,160891007,163
7,Sing 2,PG,2021-12-22,"Animation, Adventure, Comedy",Garth Jennings,Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Scarlett Johansson",English,49.0,7.6,129708860,110
8,Ghostbusters: Afterlife,PG-13,2021-11-19,"Adventure, Comedy, Fantasy",Jason Reitman,"Gil Kenan, Jason Reitman, Dan Aykroyd","Carrie Coon, Paul Rudd, Finn Wolfhard",English,45.0,7.2,128885266,124
9,Free Guy,PG-13,2021-08-13,"Action, Adventure, Comedy",Shawn Levy,"Matt Lieberman, Zak Penn","Ryan Reynolds, Jodie Comer, Taika Waititi","English, Japanese, German",62.0,7.2,121626598,115
10,Jungle Cruise,PG-13,2021-07-30,"Action, Adventure, Comedy",Jaume Collet-Serra,"Michael Green, Glenn Ficarra, John Requa","Dwayne Johnson, Emily Blunt, Edgar Ramírez","English, German, Spanish, Italian, Tupi, French, Portuguese, Latin",50.0,6.6,116987516,127
11,Dune,PG-13,2021-10-22,"Action, Adventure, Drama",Denis Villeneuve,"Jon Spaihts, Denis Villeneuve, Eric Roth","Timothée Chalamet, Rebecca Ferguson, Zendaya","English, Mandarin",74.0,8.1,107868493,155
12,Godzilla vs. Kong,PG-13,2021-03-31,"Action, Sci-Fi, Thriller",Adam Wingard,"Terry Rossio, Michael Dougherty, Zach Shields","Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall","English, American Sign ",59.0,6.4,100563133,113
13,Encanto,PG,2021-11-24,"Animation, Adventure, Comedy","Jared Bush, Byron Howard, Charise Castro Smith","Charise Castro Smith, Jared Bush, Byron Howard","Stephanie Beatriz, María Cecilia Botero, John Leguizamo","English, Spanish",76.0,7.3,93465570,102
14,Halloween Kills,R,2021-10-15,"Horror, Thriller",David Gordon Green,"John Carpenter, Debra Hill, Scott Teems","Jamie Lee Curtis, Judy Greer, Andi Matichak",English,42.0,5.6,92002155,105
15,Cruella,PG-13,2021-05-28,"Adventure, Comedy, Crime",Craig Gillespie,"Dana Fox, Tony McNamara, Aline Brosh McKenna","Emma Stone, Emma Thompson, Joel Fry","English, French",59.0,7.4,86103234,134
16,Space Jam: A New Legacy,PG,2021-07-15,"Animation, Adventure, Comedy",Malcolm D. Lee,"Leo Benvenuti, Steve Rudnick, Timothy Harris","LeBron James, Don Cheadle, Cedric Joe",English,36.0,4.4,70528072,115
17,The Conjuring: The Devil Made Me Do It,R,2021-06-04,"Horror, Mystery, Thriller",Michael Chaves,"David Leslie Johnson-McGoldrick, James Wan, Chad Hayes","Patrick Wilson, Vera Farmiga, Ruairi O'Connor","English, Latin",53.0,6.3,65631050,112
18,Candyman,R,2021-08-27,"Horror, Thriller",Nia DaCosta,"Jordan Peele, Win Rosenfeld, Nia DaCosta","Yahya Abdul-Mateen II, Teyonah Parris, Nathan Stewart-Jarrett","English, French",72.0,5.9,61186570,91
19,The Boss Baby: Family Business,PG,2021-07-02,"Animation, Adventure, Comedy",Tom McGrath,"Marla Frazee, Tom McGrath, Michael McCullers","Alec Baldwin, James Marsden, Amy Sedaris","English, French, Spanish, German, Japanese, Russian, Hindi, Korean",39.0,5.9,57300280,107
20,The Addams Family 2,PG,2021-10-01,"Animation, Adventure, Comedy","Greg Tiernan, Conrad Vernon, Laura Brousseau","Dan Hernandez, Benji Samit, Ben Queen","Oscar Isaac, Charlize Theron, Chloë Grace Moretz","English, Spanish, Latin",37.0,5.4,56489153,93
21,The Suicide Squad,R,2021-08-05,"Action, Adventure, Comedy",James Gunn,James Gunn,"Margot Robbie, Idris Elba, John Cena",English,72.0,7.2,55817425,132
22,Raya and the Last Dragon,PG,2021-03-05,"Animation, Action, Adventure","Don Hall, Carlos López Estrada, John Ripa","Qui Nguyen, Adele Lim, Paul Briggs","Kelly Marie Tran, Awkwafina, Gemma Chan",English,75.0,7.3,54723032,107
23,House of Gucci,R,2021-11-24,"Crime, Drama",Ridley Scott,"Becky Johnston, Roberto Bentivegna, Sara Gay Forden","Lady Gaga, Adam Driver, Al Pacino","English, Italian, Arabic, French, Japanese",59.0,6.9,53667485,158
24,Clifford the Big Red Dog,PG,2021-11-10,"Adventure, Comedy, Family",Walt Becker,"Jay Scherick, David Ronn, Blaise Hemingway","Darby Camp, Jack Whitehall, Izaac Wang","English, Spanish, Russian, Mandarin",55.0,6.0,48947356,96
25,Old,PG-13,2021-07-23,"Drama, Horror, Mystery",M. Night Shyamalan,"M. Night Shyamalan, Pierre-Oscar Lévy, Frederik Peeters","Gael García Bernal, Vicky Krieps, Rufus Sewell",English,55.0,5.8,48242510,108
26,Tom and Jerry,PG,2021-02-26,"Animation, Adventure, Comedy",Tim Story,"William Hanna, Joseph Barbera, Kevin Costello","Chloë Grace Moretz, Michael Peña, Colin Jost",English,32.0,5.3,46536687,101
27,The Forever Purge,R,2021-07-02,"Action, Horror, Thriller",Everardo Gout,James DeMonaco,"Ana de la Reguera, Tenoch Huerta, Josh Lucas","English, Spanish",53.0,5.4,44539245,103
28,Mortal Kombat,R,2021-04-23,"Action, Adventure, Fantasy",Simon McQuoid,"Greg Russo, Dave Callaham, Oren Uziel","Lewis Tan, Jessica McNamee, Josh Lawson","English, Japanese, Chinese",44.0,6.1,42326031,110
29,Peter Rabbit 2: The Runaway,PG,2021-06-11,"Animation, Adventure, Comedy",Will Gluck,"Will Gluck, Patrick Burleigh, Beatrix Potter","Rose Byrne, Domhnall Gleeson, David Oyelowo",English,43.0,6.2,40501717,93
