,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Poster,Metascore,imdbRating,BoxOffice,Production
0,Spider-Man: No Way Home,2021,PG-13,17 Dec 2021,148 min,"Action, Adventure, Fantasy",Jon Watts,"Chris McKenna, Erik Sommers, Stan Lee","Tom Holland, Zendaya, Benedict Cumberbatch","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",English,https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_SX300.jpg,71,8.7,"$720,891,602",N/A
1,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,03 Sep 2021,132 min,"Action, Adventure, Fantasy",Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu, Awkwafina, Tony Chiu-Wai Leung","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","English, Mandarin",https://m.media-amazon.com/images/M/MV5BNTliYjlkNDQtMjFlNS00NjgzLWFmMWEtYmM2Mzc2Zjg3ZjEyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,71,7.5,"$224,543,292",N/A
2,Venom: Let There Be Carnage,2021,PG-13,01 Oct 2021,97 min,"Action, Adventure, Sci-Fi",Andy Serkis,"Kelly Marcel, Tom Hardy","Tom Hardy, Woody Harrelson, Michelle Williams","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",English,https://m.media-amazon.com/images/M/MV5BYTc3ZTAwYTgtMmM4ZS00MDRiLWI2Y2EtYmRiZmE0YjkzMGY1XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,49,6.0,"$213,550,366",N/A
3,Black Widow,2021,PG-13,09 Jul 2021,134 min,"Action, Adventure, Sci-Fi",Cate Shortland,"Eric Pearson, Jac Schaeffer, Ned Benson","Scarlett Johansson, Florence Pugh, David Harbour",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"English, Russian, Norwegian, Hungarian, Macedonian, Finnish",https://m.media-amazon.com/images/M/MV5BNjRmNDI5MjMtMmFhZi00YzcwLWI4ZGItMGI2MjI0N2Q3YmIwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,67,6.7,"$183,651,655",N/A
4,F9: The Fast Saga,2021,PG-13,25 Jun 2021,143 min,"Action, Crime, Thriller",Justin Lin,"Daniel Casey, Justin Lin, Alfredo Botello","Vin Diesel, Michelle Rodriguez, Jordana Brewster",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,English,https://m.media-amazon.com/images/M/MV5BMjI0NmFkYzEtNzU2YS00NTg5LWIwYmMtNmQ1MTU0OGJjOTMxXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,58,5.2,"$173,005,945",N/A
5,Eternals,2021,PG-13,05 Nov 2021,156 min,"Action, Adventure, Fantasy",Chloé Zhao,"Chloé Zhao, Patrick Burleigh, Ryan Firpo","Gemma Chan, Richard Madden, Angelina Jolie","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","English, American Sign , Marathi, Spanish, Sumerian, Latin, Greek, Ancient (to 1453)",https://m.media-amazon.com/images/M/MV5BMTExZmVjY2ItYTAzYi00MDdlLWFlOWItNTJhMDRjMzQ5ZGY0XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_SX300.jpg,52,6.4,"$164,870,234",N/A
6,No Time to Die,2021,PG-13,08 Oct 2021,163 min,"Action, Adventure, Thriller",Cary Joji Fukunaga,"Neal Purvis, Robert Wade, Cary Joji Fukunaga","Daniel Craig, Ana de Armas, Rami Malek","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","English, French, Italian, Russian, Spanish, German",https://m.media-amazon.com/images/M/MV5BYWQ2NzQ1NjktMzNkNS00MGY1LTgwMmMtYTllYTI5YzNmMmE0XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,68,7.3,"$160,891,007",N/A
7,Sing 2,2021,PG,22 Dec 2021,110 min,"Animation, Adventure, Comedy",Garth Jennings,Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Scarlett Johansson",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,English,https://m.media-amazon.com/images/M/MV5BMWRiZGQ1NDMtODQ2OS00MDlhLWJkZGYtM2ZmNjlhZThjOWRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,49,7.6,"$129,708,860",N/A
8,Ghostbusters: Afterlife,2021,PG-13,19 Nov 2021,124 min,"Adventure, Comedy, Fantasy",Jason Reitman,"Gil Kenan, Jason Reitman, Dan Aykroyd","Carrie Coon, Paul Rudd, Finn Wolfhard","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",English,https://m.media-amazon.com/images/M/MV5BMmZiMjdlN2UtYzdiZS00YjgxLTgyZGMtYzE4ZGU5NTlkNjhhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,45,7.2,"$128,885,266",N/A
9,Free Guy,2021,PG-13,13 Aug 2021,115 min,"Action, Adventure, Comedy",Shawn Levy,"Matt Lieberman, Zak Penn","Ryan Reynolds, Jodie Comer, Taika Waititi","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","English, Japanese, German",https://m.media-amazon.com/images/M/MV5BOTY2NzFjODctOWUzMC00MGZhLTlhNjMtM2Y2ODBiNGY1ZWRiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,62,7.2,"$121,626,598",N/A
10,Jungle Cruise,2021,PG-13,30 Jul 2021,127 min,"Action, Adventure, Comedy",Jaume Collet-Serra,"Michael Green, Glenn Ficarra, John Requa","Dwayne Johnson, Emily Blunt, Edgar Ramírez",Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,"English, German, Spanish, Italian, Tupi, French, Portuguese, Latin",https://m.media-amazon.com/images/M/MV5BNDE1MGRlNTQtZjc4ZC00MTI0LWEwY2MtODk1YTM2NmFmYTNmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,50,6.6,"$116,987,516",N/A
11,Dune,2021,PG-13,22 Oct 2021,155 min,"Action, Adventure, Drama",Denis Villeneuve,"Jon Spaihts, Denis Villeneuve, Eric Roth","Timothée Chalamet, Rebecca Ferguson, Zendaya",Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.,"English, Mandarin",https://m.media-amazon.com/images/M/MV5BN2FjNmEyNWMtYzM0ZS00NjIyLTg5YzYtYThlMGVjNzE1OGViXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,74,8.1,"$107,868,493",N/A
