,trash
0,Cyrano 
1,Studio 666 
2,The Burning Sea 
3,Butter 
4,The Desperate Hour 
5,I Am Mortal 
6,The Batman 
7,A Day to Die 
8,Great Freedom 
9,Asking for It 
10,X 
11,Jujutsu Kaisen 0: The Movie 
12,The Outfit 
13,Operation Fortune: Ruse de guerre 
14,Cheaper by the Dozen 
15,Alice 
16,The Unbreakable Boy 
17,Man of God 
18,The Lost City 
19,The Duke 
20,Everything Everywhere All at Once 
21,Mothering Sunday 
22,Nitram 
23,Morbius 
24,The Contractor 
25,You Won't Be Alone 
26,Iris Warriors 
27,Sonic the Hedgehog 2 
28,Ambulance 
29,Cow 
30,Aline 
31,As They Made Us 
32,Fantastic Beasts: The Secrets of Dumbledore 
33,Father Stu 
34,"Paris, 13th District "
35,The Northman 
36,The Bad Guys 
37,The Unbearable Weight of Massive Talent 
38,Petite Maman 
39,Hatching 
40,Vortex 
41,Memory 
42,Firebird 
43,Doctor Strange in the Multiverse of Madness 
44,Happening 
45,The Twin 
46,Firestarter 
47,The Innocents 
48,Downton Abbey: A New Era 
49,DC League of Super-Pets 
50,Men 
51,Top Gun: Maverick 
52,The Bob's Burgers Movie 
53,Terror on the Prairie 
54,Jurassic World Dominion 
55,Lightyear 
56,Elvis 
57,The Black Phone 
58,Shotgun Wedding 
59,Minions 2: The Rise of Gru 
60,Thor: Love and Thunder 
61,Bullet Train 
62,Mrs Harris Goes to Paris 
63,The Wrong Place 
64,Nope 
65,Where the Crawdads Sing 
66,Blazing Samurai 
67,Black Adam 
68,Guns 3: Alias Billy the Kid 
69,Secret Headquarters 
70,The Man from Toronto 
71,Samaritan 
72,After Ever Happy 
73,Salem's Lot 
74,Dark Harvest 
75,The Woman King 
76,Don't Worry Darling 
77,Puss in Boots: The Last Wish 
78,Spider-Man: Across the Spider-Verse - Part One 
79,Till 
80,Halloween Ends 
81,Ticket to Paradise 
82,The Devil's Light 
83,The Monkey King: The Legend Begins 
84,The Flash 
85,Untitled David O. Russell 
86,Black Panther: Wakanda Forever 
87,Thirteen Lives 
88,The Fabelmans 
89,Creed III 
90,Strange World 
91,Avatar 2 
92,Aquaman and the Lost Kingdom 
93,Untitled Illumination Entertainment Project 
94,A Man Called Otto 
95,Babylon 
96,The Amazing Maurice 
97,Kraven the Hunter 
98,Knock at the Cabin 
99,The Marvels 
