,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Poster,Metascore,imdbRating,BoxOffice,Production
0,The Batman,2022,PG-13,04 Mar 2022,175 min,"Action, Crime, Drama",Matt Reeves,"Matt Reeves, Peter Craig, Bob Kane","Zoë Kravitz, Robert Pattinson, Barry Keoghan","When the Riddler, a sadistic serial killer, begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",English,https://m.media-amazon.com/images/M/MV5BYTExZTdhY2ItNGQ1YS00NjJlLWIxMjYtZTI1MzNlMzY0OTk4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,N/A,N/A,N/A,N/A
1,A Day to Die,2022,N/A,N/A,N/A,Action,Wes Miller,"Rab Berry, Scott Mallace","Bruce Willis, Frank Grillo, Kevin Dillon","After killing a drug syndicate member while protecting a parolee, Connor Connolly has one day to pay two million dollars in reparations he doesn't have to Tyrone Pettis. He is forced to ask his old military ops crew, led by Brice Mas",English,https://m.media-amazon.com/images/M/MV5BM2Q1ZDIwOTktYmZkMy00NDg1LWE3NmYtYTBjODNlYTM5MTk0XkEyXkFqcGdeQXVyMTEzNTA1NDYz._V1_SX300.jpg,N/A,N/A,N/A,N/A
2,He Was Asking for It: A Noir Film,2022,N/A,30 Apr 2022,N/A,"Short, Crime",Rocky Karlage,"Rocky Karlage, Staci Layne Wilson","Rocky Karlage, Patrick Lamba, Charlie Jiin","The meek fight back against a sleazy film producer, but there is just something about her.",English,https://m.media-amazon.com/images/M/MV5BMjA5NGY0ZjItN2ExZC00ZmMyLTg5YWItYTkyOGEzZjkyNjFiXkEyXkFqcGdeQXVyMTE2MDcxNjU@._V1_SX300.jpg,N/A,N/A,N/A,N/A
3,Tyson's Run,2022,PG,11 Mar 2022,103 min,Drama,Kim Bass,Kim Bass,"Major Dodson, Amy Smart, Barkhad Abdi",An unathletic boy with autism strives to become an unlikely marathon champion giving his unfulfilled father purpose and a second chance at putting his family first.,English,https://m.media-amazon.com/images/M/MV5BODQ3NGE3MzYtNDJkZS00MWUyLTk0NmEtOGMwMjMyZjY1YjM2XkEyXkFqcGdeQXVyMjI0NjI0Nw@@._V1_SX300.jpg,N/A,N/A,N/A,N/A
4,X,2022,R,18 Mar 2022,N/A,Horror,Ti West,Ti West,"Jenna Ortega, Mia Goth, Brittany Snow","In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",English,https://m.media-amazon.com/images/M/MV5BYjI1OWZkYzYtMDVlMS00YWFjLWE5NDUtYzA2NWZkMjM1YTkyXkEyXkFqcGdeQXVyMjY4MTc1MDM@._V1_SX300.jpg,N/A,N/A,N/A,N/A
5,Operation Fortune: Ruse de guerre,2022,N/A,18 Mar 2022,N/A,"Action, Comedy, Thriller",Guy Ritchie,"Ivan Atkinson, Marn Davies, Guy Ritchie","Jason Statham, Josh Hartnett, Aubrey Plaza",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,"English, Chinese",https://m.media-amazon.com/images/M/MV5BZGFmNmRlZmQtMDAyYy00NTJjLTg2ODQtZDI0OWE3M2I2NDcyXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,N/A,N/A,N/A,N/A
6,The Outfit,2022,R,18 Mar 2022,105 min,"Crime, Drama",Graham Moore,"Johnathan McClain, Graham Moore","Mark Rylance, Zoey Deutch, Dylan O'Brien",An expert tailor must outwit a dangerous group of mobsters in order to survive a fateful night.,English,https://m.media-amazon.com/images/M/MV5BYWQ0NWUyMjktYjg4Yy00NmY3LTg2YzEtNWY5OTY5YTc2MjhjXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,N/A,N/A,N/A,N/A
7,Cheaper by the Dozen,2022,PG,18 Mar 2022,N/A,"Adventure, Comedy, Family",Gail Lerner,"Kenya Barris, Ernestine Gilbreth Carey, Frank B. Gilbreth Jr.","Gabrielle Union, Zach Braff, Brittany Daniel","The raucous exploits of a blended family of 12, the Bakers, as they navigate a hectic home life while simultaneously managing their family business",English,https://m.media-amazon.com/images/M/MV5BMTUxMjk5ZDAtYWE2NS00OTAxLWIxNTktYTFlZWI1YzJkZjMwXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,N/A,N/A,N/A,N/A
8,Alice,2022,N/A,18 Mar 2022,100 min,Drama,Krystin Ver Linden,Krystin Ver Linden,"Keke Palmer, Common, Jonny Lee Miller",A slave in the antebellum South who escapes from her secluded plantation only to discover a shocking reality that lies beyond the tree line.,English,https://m.media-amazon.com/images/M/MV5BOTg4YjM4M2ItNTkxMy00ZGI1LTk4MWYtMzY5N2Y1Y2U3MWRkXkEyXkFqcGdeQXVyMTMxODA5NzUw._V1_SX300.jpg,54,5.3,N/A,N/A
9,The Unbreakable Boy,2022,PG,18 Mar 2022,N/A,Drama,Jon Gunn,Jon Gunn,"Zachary Levi, Amy Acker, Peter Facinelli","A young boy with both a rare brittle-bone disease and autism. But what makes him truly unique is his joyous, funny, life-affirming world view that transforms and unites everyone around him.",English,https://m.media-amazon.com/images/M/MV5BMjFkMGNkMDEtNDdjYy00YjYwLTk3MjMtNGI2NTAyM2ZmMWY3XkEyXkFqcGdeQXVyMTMwMDA5ODU3._V1_SX300.jpg,N/A,N/A,N/A,N/A
10,Umma,2022,N/A,18 Mar 2022,N/A,Horror,Iris K. Shim,Iris K. Shim,"Dermot Mulroney, Odeya Rush, Sandra Oh","Amanda and her daughter living a quiet life on an American farm, but when the remains of her estranged mother arrive from Korea, Amanda becomes haunted by the fear of turning into her own mother.",English,N/A,N/A,N/A,N/A,N/A
