movie_id,person_id,role_id
1,0,0
1,1,1
1,2,2
2,3,0
2,4,1
2,5,2
3,6,0
3,7,1
3,8,2
4,9,0
4,9,1
4,10,2
5,11,0
5,12,1
5,13,2
6,14,0
6,15,1
6,16,2
7,17,0
7,18,1
7,19,2
8,20,0
8,21,1
8,22,2
9,23,0
9,24,1
9,25,2
10,26,0
10,27,1
10,28,2
11,29,0
11,30,1
11,31,2
12,32,0
12,32,1
12,33,2
13,34,0
13,35,1
13,36,2
14,37,0
14,38,1
14,39,2
15,40,0
15,40,1
15,41,2
16,42,0
16,43,1
16,44,2
17,45,0
17,46,1
17,47,2
18,48,0
18,49,1
18,50,2
19,51,0
19,51,1
19,52,2
20,53,0
20,54,1
20,55,2
21,56,0
21,56,1
21,57,2
22,58,0
22,58,1
22,59,2
23,60,0
23,61,1
23,62,2
24,63,0
24,64,1
24,65,2
25,66,0
25,67,1
25,68,2
26,69,0
26,70,1
26,71,2
27,72,0
27,73,1
27,74,2
28,75,0
28,76,1
28,77,2
29,78,0
29,79,1
29,37,2
30,80,0
30,80,1
30,81,2
31,82,0
31,83,1
31,84,2
32,85,0
32,86,1
32,87,2
33,88,0
33,88,1
33,89,2
34,90,0
34,91,1
34,92,2
35,93,0
35,94,1
35,95,2
36,96,0
36,97,1
36,95,2
37,98,0
37,98,1
37,99,2
38,100,0
38,101,1
38,102,2
39,103,0
39,104,1
39,105,2
40,106,0
40,107,1
40,108,2
41,109,0
41,110,1
41,111,2
42,112,0
42,113,1
42,114,2
43,115,0
43,116,1
43,117,2
44,118,0
44,119,1
44,120,2
45,121,0
45,122,1
45,123,2
46,124,0
46,124,1
46,125,2
47,126,0
47,127,1
47,41,2
48,128,0
48,128,1
48,129,2
49,130,0
49,131,1
49,132,2
50,133,0
50,134,1
50,135,2
51,136,0
51,136,1
51,136,2
52,137,0
52,138,1
52,139,2
53,140,0
53,141,1
53,142,2
54,31,0
54,143,1
54,31,2
55,144,0
55,144,1
55,145,2
56,146,0
56,147,1
56,147,2
57,148,0
57,149,1
57,150,2
58,151,0
58,152,1
58,13,2
59,153,0
59,154,1
59,155,2
60,156,0
60,157,1
60,158,2
61,159,0
61,160,1
61,161,2
62,162,0
62,162,1
62,163,2
63,164,0
63,165,1
63,166,2
64,167,0
64,168,1
64,169,2
65,170,0
65,171,1
65,172,2
66,173,0
66,173,1
66,174,2
67,175,0
67,176,1
67,177,2
68,178,0
68,179,1
68,180,2
69,181,0
69,182,1
69,183,2
70,184,0
70,185,1
70,186,2
71,187,0
71,188,1
71,189,2
72,190,0
72,191,1
72,192,2
73,193,0
73,193,1
73,193,2
74,194,0
74,195,1
74,196,2
75,197,0
75,198,1
75,199,2
76,200,0
76,201,1
76,202,2
77,203,0
77,204,1
77,205,2
78,206,0
78,207,1
78,208,2
79,209,0
79,209,1
79,210,2
80,211,0
80,212,1
80,213,2
81,214,0
81,215,1
81,216,2
82,217,0
82,218,1
82,219,2
83,220,0
83,221,1
83,222,2
84,223,0
84,224,1
84,225,2
85,226,0
85,227,1
85,228,2
86,229,0
86,230,1
86,231,2
87,232,0
87,233,1
87,234,2
88,235,0
88,235,1
88,235,2
89,236,0
89,237,1
89,238,2
90,239,0
90,240,1
90,241,2
91,242,0
91,242,1
91,243,2
92,244,0
92,245,1
92,246,2
93,247,0
93,248,1
93,249,2
94,248,0
94,248,1
94,71,2
95,17,0
95,17,1
95,250,2
96,51,0
96,51,1
96,251,2
97,252,0
97,252,1
97,253,2
98,254,0
98,254,1
98,255,2
99,40,0
99,40,1
99,68,2
100,256,0
100,257,1
100,105,2
101,258,0
101,259,1
101,260,2
102,261,0
102,262,1
102,263,2
103,264,0
103,264,1
103,265,2
104,266,0
104,267,1
