person_id,name
0,Stanley Kubrick
1,Stephen King
2,Jack Nicholson
3,Randal Kleiser
4,Henry De Vere Stacpoole
5,Brooke Shields
6,Irvin Kershner
7,Leigh Brackett
8,Mark Hamill
9,Jim Abrahams
10,Robert Hays
11,Harold Ramis
12,Brian Doyle-Murray
13,Chevy Chase
14,Sean S. Cunningham
15,Victor Miller
16,Betsy Palmer
17,John Landis
18,Dan Aykroyd
19,John Belushi
20,Martin Scorsese
21,Jake LaMotta
22,Robert De Niro
23,Richard Lester
24,Jerry Siegel
25,Gene Hackman
26,Walter Hill
27,Bill Bryden
28,David Carradine
29,Buddy Van Horn
30,Stanford Sherman
31,Clint Eastwood
32,Jamie Uys
33,N!xau
34,Robert Altman
35,Jules Feiffer
36,Robin Williams
37,Robert Redford
38,Judith Guest
39,Donald Sutherland
40,Brian De Palma
41,Michael Caine
42,Jeannot Szwarc
43,Richard Matheson
44,Christopher Reeve
45,Alan Parker
46,Christopher Gore
47,Eddie Barth
48,Colin Higgins
49,Patricia Resnick
50,Jane Fonda
51,John Carpenter
52,Adrienne Barbeau
53,Sidney Poitier
54,Bruce Jay Friedman
55,Gene Wilder
56,William Friedkin
57,Al Pacino
58,Michael Cimino
59,Kris Kristofferson
60,Don Taylor
61,Thomas Hunter
62,Kirk Douglas
63,Robert Greenwald
64,Richard Christian Danus
65,Olivia Newton-John
66,James Bridges
67,Aaron Latham
68,John Travolta
69,Ken Russell
70,Paddy Chayefsky
71,William Hurt
72,Ron Maxwell
73,Kimi Peck
74,Tatum O'Neal
75,Jerry Jameson
76,Adam Kennedy
77,Jason Robards
78,Stuart Rosenberg
79,W.D. Richter
80,Paul Schrader
81,Richard Gere
82,Tony Bill
83,Alan Ormsby
84,Chris Makepeace
85,Paul Lynch
86,William Gray
87,Leslie Nielsen
88,Hal Needham
89,Burt Reynolds
90,Lamont Johnson
91,David Eyre
92,Scott Glenn
93,Jay Sandrich
94,Neil Simon
95,Goldie Hawn
96,Howard Zieff
97,Nancy Meyers
98,Floyd Mutrux
99,Tony Danza
100,Kevin Connor
101,Robert Jaffe
102,Rory Calhoun
103,Richard Fleischer
104,Samson Raphaelson
105,Laurence Olivier
106,Michael Apted
107,Thomas Rickman
108,Sissy Spacek
109,John Hough
110,Brian Clemens
111,Bette Davis
112,Bruce Beresford
113,Jonathan Hardy
114,Edward Woodward
115,Richard Rush
116,Lawrence B. Marcus
117,Peter O'Toole
118,Art Linson
119,Hunter S. Thompson
120,Peter Boyle
121,Mike Newell
122,Allan Scott
123,Charlton Heston
124,Tommy Chong
125,Cheech Marin
126,Michael Ritchie
127,Peter Benchley
128,Ulli Lommel
129,Suzanna Love
130,Clive Donner
131,Mel Brooks
132,Don Adams
133,Moustapha Akkad
134,David Butler
135,Anthony Quinn
136,Woody Allen
137,Jonathan Demme
138,Bo Goldman
139,Paul Le Mat
140,Nancy Walker
141,Bronte Woodard
142,Ray Simpson
143,Dennis Hackin
144,Federico Fellini
145,Marcello Mastroianni
146,Lang Elliott
147,Tim Conway
148,James Goldstone
149,Gordon Thomas
150,Paul Newman
151,Joe Camp
152,Rod Browning
153,Eric Karson
154,Leigh Chapman
155,Chuck Norris
156,James L. Conway
157,Ken Pettus
158,Darren McGavin
159,Vincent McEveety
160,Don Tait
161,Charles Martin Smith
162,Joel Oliansky
163,Richard Dreyfuss
164,Claudia Weill
165,Eleanor Bergstein
166,Jill Clayburgh
167,Jerry Schatzberg
168,Gösta Stevens
169,Willie Nelson
170,Daniel Petrie
171,Lewis John Carlino
172,Ellen Burstyn
173,Anne Bancroft
174,Dom DeLuise
175,Vladimir Menshov
176,Valentin Chernykh
177,Vera Alentova
178,Piers Haggard
179,Rudy Dochtermann
180,Peter Sellers
181,Bill Persky
182,Cyra McFadden
183,Martin Mull
184,Martin Davidson
185,AJ Carothers
186,John Ritter
187,Gary Weis
188,Guy Thomas
189,Dudley Moore
190,Bill Melendez
191,Charles M. Schulz
192,Scott Beach
193,Marty Feldman
194,Alan Rudolph
195,Big Boy Medlin
196,Meat Loaf
