genre_id,genre_name
0,"Action, Crime, Drama"
1,Action
2,"Short, Crime"
3,Drama
4,Horror
5,"Action, Comedy, Thriller"
6,"Crime, Drama"
7,"Adventure, Comedy, Family"
8,Drama
9,Drama
10,Horror
11,"Action, Adventure, Comedy"
12,Comedy
13,"Action, Adventure, Comedy"
14,"Action, Adventure, Drama"
15,"Action, Thriller"
16,"Drama, Horror"
17,"Family, Fantasy, Musical"
18,"Animation, Action, Adventure"
19,"Action, Crime, Drama"
20,Drama
21,Drama
22,"Adventure, Family, Fantasy"
23,"Animation, Adventure, Comedy"
24,"Action, Adventure, Drama"
25,"Action, Comedy, Crime"
26,Horror
27,Horror
28,"Drama, Romance"
29,"Action, Thriller"
30,"Action, Adventure, Fantasy"
31,Documentary
32,Horror
33,"Drama, Horror, Sci-Fi"
34,"Drama, Romance"
35,"Drama, Horror, Sci-Fi"
36,"Animation, Action, Adventure"
37,"Action, Drama"
38,"Animation, Adventure, Comedy"
39,Western
40,"Action, Adventure, Sci-Fi"
41,"Animation, Action, Adventure"
42,Documentary
43,"Action, Comedy, Romance"
44,"Animation, Adventure, Comedy"
45,"Action, Adventure, Fantasy"
46,"Action, Thriller"
47,Drama
48,Thriller
49,Horror
50,"Drama, Mystery"
51,"Animation, Action, Comedy"
52,"Action, Fantasy, Sci-Fi"
53,Western
54,"Action, Adventure, Sci-Fi"
55,"Action, Comedy, Thriller"
56,"Action, Drama, Fantasy"
57,"Drama, Romance"
58,Horror
59,Horror
60,"Drama, History"
61,"Crime, Drama, Horror"
62,"Animation, Adventure, Comedy"
63,"Animation, Action, Adventure"
64,Drama
65,"Horror, Thriller"
66,"Comedy, Romance"
67,"Horror, Thriller"
68,Fantasy
69,"Action, Adventure, Fantasy"
70,"Drama, History"
71,"Action, Adventure, Drama"
72,"Animation, Adventure, Comedy"
73,"Biography, Drama, Thriller"
74,"Drama, Sport"
75,Drama
76,"Animation, Action, Adventure"
77,"Action, Adventure, Sci-Fi"
78,"Action, Adventure, Fantasy"
79,"Animation, Adventure, Comedy"
80,"Biography, Music"
81,"Comedy, Drama"
82,Drama
