movie_id,person_id,role_id
0,0,0
0,0,1
0,1,1
0,2,1
0,3,2
0,4,2
0,5,2
1,6,0
1,7,1
1,8,1
1,9,2
1,10,2
1,11,2
2,12,0
2,12,1
2,13,1
2,12,2
2,14,2
2,15,2
3,16,0
3,16,1
3,17,2
3,18,2
3,19,2
4,20,0
4,20,1
4,21,2
4,22,2
4,23,2
5,24,0
5,25,1
5,26,1
5,24,1
5,27,2
5,28,2
5,29,2
6,30,0
6,31,1
6,30,1
6,32,2
6,33,2
6,34,2
7,35,0
7,36,1
7,37,1
7,38,1
7,39,2
7,40,2
7,41,2
8,42,0
8,42,1
8,43,2
8,44,2
8,45,2
9,46,0
9,46,1
9,47,2
9,48,2
9,49,2
10,50,0
10,50,1
10,51,2
10,52,2
10,53,2
11,54,0
11,55,0
11,56,1
11,57,1
11,55,1
11,58,2
11,59,2
11,60,2
12,61,0
12,61,1
12,62,2
12,63,2
12,64,2
13,65,0
13,66,0
13,65,1
13,66,1
13,67,2
13,68,2
13,69,2
14,70,0
14,71,1
14,72,1
14,73,1
14,74,2
14,75,2
14,76,2
15,77,0
15,78,1
15,79,2
15,80,2
15,81,2
16,82,0
16,82,1
16,83,2
16,84,2
16,85,2
17,86,0
17,87,1
17,86,1
17,88,2
17,89,2
17,90,2
18,91,0
18,92,1
18,93,1
18,94,1
18,95,2
18,96,2
18,97,2
19,98,0
19,99,1
19,100,1
19,101,1
19,102,2
19,103,2
19,104,2
20,105,0
20,105,1
20,106,1
20,107,1
20,108,2
20,109,2
20,110,2
21,111,0
21,111,1
21,112,2
21,113,2
21,114,2
22,115,0
22,116,1
22,117,1
22,118,2
22,119,2
22,120,2
23,121,0
23,122,1
23,123,1
23,124,1
23,125,2
23,126,2
23,127,2
24,128,0
24,128,1
24,129,1
24,130,2
24,131,2
24,132,2
25,133,0
25,134,1
25,133,1
25,135,2
25,136,2
25,137,2
26,138,0
26,139,1
26,140,2
26,141,2
26,142,2
27,143,0
27,143,1
27,144,2
27,145,2
27,146,2
28,147,0
28,147,1
28,147,2
29,148,0
29,149,1
29,150,1
29,151,1
29,152,2
29,153,2
29,154,2
30,155,0
30,156,1
30,157,1
30,158,1
30,159,2
30,160,2
30,161,2
31,162,0
31,147,1
31,147,2
32,163,0
32,164,1
32,163,1
32,165,2
32,166,2
32,167,2
33,168,0
33,169,1
33,170,1
33,171,2
33,172,2
33,173,2
34,174,0
34,175,1
34,176,2
34,177,2
34,178,2
35,179,0
35,179,1
35,180,2
35,181,2
35,182,2
36,183,0
36,184,0
36,183,1
36,94,1
36,185,2
36,186,2
36,187,2
37,188,0
37,189,1
37,190,1
37,191,1
37,192,2
37,193,2
37,194,2
38,195,0
38,196,0
38,195,1
38,197,1
38,198,1
38,199,2
38,200,2
38,201,2
39,202,0
39,203,1
39,204,2
39,205,2
39,206,2
40,207,0
40,207,1
40,208,1
40,209,1
40,210,2
40,211,2
40,212,2
41,213,0
41,214,1
41,215,1
41,216,1
41,217,2
41,218,2
41,43,2
42,219,0
42,147,1
42,147,2
43,220,0
43,221,1
43,222,1
43,223,2
43,224,2
43,225,2
44,226,0
44,227,0
44,228,0
44,229,1
44,230,1
44,231,1
44,232,2
44,233,2
44,234,2
45,218,0
45,158,1
45,235,1
45,218,1
45,218,2
45,236,2
45,237,2
46,238,0
46,239,1
46,240,1
46,58,2
46,59,2
46,241,2
47,242,0
47,243,1
47,242,1
47,244,1
47,245,2
47,246,2
47,247,2
48,248,0
48,249,1
48,9,2
48,250,2
48,251,2
49,252,0
49,252,1
49,253,2
49,43,2
49,254,2
50,255,0
50,256,1
50,257,1
50,258,2
50,259,2
50,260,2
51,261,0
51,262,0
51,263,0
51,264,1
51,265,1
51,266,1
51,267,2
51,268,2
51,68,2
52,269,0
52,270,1
52,271,1
52,272,1
52,185,2
52,273,2
52,274,2
53,275,0
53,275,1
53,276,1
53,277,2
53,275,2
53,278,2
54,279,0
54,280,0
54,279,1
54,281,1
54,280,1
54,282,2
54,283,2
54,284,2
55,285,0
55,286,1
55,287,1
55,288,1
55,289,2
55,290,2
55,186,2
56,291,0
56,292,1
56,293,2
56,294,2
56,295,2
57,296,0
57,297,1
57,298,1
57,299,2
57,300,2
57,301,2
58,302,0
58,302,1
58,169,1
58,303,2
58,304,2
58,305,2
59,306,0
59,307,1
59,308,1
59,309,2
59,310,2
59,311,2
60,312,0
60,312,1
60,313,1
60,299,2
60,314,2
60,315,2
61,316,0
61,317,1
61,318,1
61,319,1
61,320,2
61,321,2
61,316,2
62,322,0
62,323,0
62,324,1
62,325,1
62,326,2
62,325,2
62,327,2
63,328,0
63,329,0
63,330,0
63,331,1
63,332,1
63,333,1
63,334,2
63,335,2
63,336,2
64,337,0
64,338,1
64,337,1
64,339,1
64,340,2
64,341,2
64,342,2
65,343,0
65,344,1
65,345,1
65,343,1
65,69,2
65,346,2
65,347,2
66,348,0
66,348,1
66,349,1
66,350,2
66,351,2
66,246,2
67,352,0
67,353,1
67,354,1
67,355,1
67,356,2
67,357,2
67,358,2
68,359,0
68,360,1
68,361,2
68,362,2
68,363,2
69,364,0
69,365,1
69,366,1
69,367,1
69,368,2
69,369,2
69,75,2
70,370,0
70,370,1
70,371,2
70,372,2
70,373,2
71,374,0
71,375,1
71,374,1
71,376,2
71,377,2
71,378,2
72,379,0
72,380,1
72,381,1
72,382,1
72,147,2
73,383,0
73,384,1
73,385,2
73,386,2
73,387,2
74,388,0
74,389,1
74,390,1
74,391,2
74,388,2
74,392,2
75,393,0
75,394,1
75,393,1
75,395,2
75,396,2
75,397,2
76,398,0
76,399,1
76,400,2
77,401,0
77,401,1
77,402,1
77,403,2
77,404,2
77,405,2
78,406,0
78,407,1
78,408,1
78,409,1
78,368,2
78,131,2
78,410,2
79,411,0
79,412,0
79,230,1
79,413,1
79,371,2
79,211,2
79,396,2
80,414,0
80,415,1
80,416,2
80,417,2
80,418,2
81,419,0
81,420,1
81,421,2
81,422,2
81,423,2
82,424,0
82,424,1
82,59,2
82,372,2
82,316,2
