title,movie_rating,release_date,genre_name,director,writer,actors,imdb_rating,box_office,run_time
The Shining,R,1980-06-13,Drama,Stanley Kubrick,Stephen King,Jack Nicholson,8.4,19000000.0,146.0
The Blue Lagoon,R,1980-07-02,Adventure,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,5.8,4500000.0,104.0
Star Wars: Episode V - The Empire Strikes Back,PG,1980-06-20,Action,Irvin Kershner,Leigh Brackett,Mark Hamill,8.7,18000000.0,124.0
Airplane!,PG,1980-07-02,Comedy,Jim Abrahams,Jim Abrahams,Robert Hays,7.7,3500000.0,88.0
Caddyshack,R,1980-07-25,Comedy,Harold Ramis,Brian Doyle-Murray,Chevy Chase,7.3,6000000.0,98.0
Friday the 13th,R,1980-05-09,Horror,Sean S. Cunningham,Victor Miller,Betsy Palmer,6.4,550000.0,95.0
The Blues Brothers,R,1980-06-20,Action,John Landis,Dan Aykroyd,John Belushi,7.9,27000000.0,133.0
Raging Bull,R,1980-12-19,Biography,Martin Scorsese,Jake LaMotta,Robert De Niro,8.2,18000000.0,129.0
Superman II,PG,1981-06-19,Action,Richard Lester,Jerry Siegel,Gene Hackman,6.8,54000000.0,127.0
The Long Riders,R,1980-05-16,Biography,Walter Hill,Bill Bryden,David Carradine,7.0,10000000.0,100.0
Any Which Way You Can,PG,1980-12-17,Action,Buddy Van Horn,Stanford Sherman,Clint Eastwood,6.1,15000000.0,116.0
The Gods Must Be Crazy,PG,1984-10-26,Adventure,Jamie Uys,Jamie Uys,N!xau,7.3,5000000.0,109.0
Popeye,PG,1980-12-12,Adventure,Robert Altman,Jules Feiffer,Robin Williams,5.3,20000000.0,114.0
Ordinary People,R,1980-09-19,Drama,Robert Redford,Judith Guest,Donald Sutherland,7.7,6000000.0,124.0
Dressed to Kill,R,1980-07-25,Crime,Brian De Palma,Brian De Palma,Michael Caine,7.1,6500000.0,104.0
Somewhere in Time,PG,1980-10-03,Drama,Jeannot Szwarc,Richard Matheson,Christopher Reeve,7.2,5100000.0,103.0
Fame,R,1980-05-16,Drama,Alan Parker,Christopher Gore,Eddie Barth,6.6,0.0,134.0
9 to 5,PG,1980-12-19,Comedy,Colin Higgins,Patricia Resnick,Jane Fonda,6.9,10000000.0,109.0
The Fog,R,1980-02-08,Horror,John Carpenter,John Carpenter,Adrienne Barbeau,6.8,1000000.0,89.0
Stir Crazy,R,1980-12-12,Comedy,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,6.8,0.0,111.0
Cruising,R,1980-02-15,Crime,William Friedkin,William Friedkin,Al Pacino,6.5,11000000.0,102.0
Heaven's Gate,R,1981-04-24,Adventure,Michael Cimino,Michael Cimino,Kris Kristofferson,6.8,44000000.0,219.0
The Final Countdown,PG,1980-08-01,Action,Don Taylor,Thomas Hunter,Kirk Douglas,6.7,12000000.0,103.0
Xanadu,PG,1980-08-08,Fantasy,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,5.3,20000000.0,96.0
Urban Cowboy,PG,1980-06-06,Drama,James Bridges,Aaron Latham,John Travolta,6.4,0.0,132.0
Altered States,R,1980-12-25,Horror,Ken Russell,Paddy Chayefsky,William Hurt,6.9,0.0,102.0
Little Darlings,R,1980-03-21,Comedy,Ron Maxwell,Kimi Peck,Tatum O'Neal,6.5,0.0,96.0
Raise the Titanic,PG,1980-08-01,Action,Jerry Jameson,Adam Kennedy,Jason Robards,5.0,36000000.0,115.0
Brubaker,R,1980-06-20,Crime,Stuart Rosenberg,W.D. Richter,Robert Redford,7.2,9000000.0,131.0
American Gigolo,R,1980-02-01,Crime,Paul Schrader,Paul Schrader,Richard Gere,6.2,4800000.0,117.0
My Bodyguard,PG,1980-09-26,Comedy,Tony Bill,Alan Ormsby,Chris Makepeace,7.1,0.0,102.0
Prom Night,R,1980-07-18,Horror,Paul Lynch,William Gray,Leslie Nielsen,5.4,0.0,92.0
Smokey and the Bandit II,PG,1980-08-15,Action,Hal Needham,Hal Needham,Burt Reynolds,5.3,0.0,100.0
Cattle Annie and Little Britches,PG,1981-04-24,Drama,Lamont Johnson,David Eyre,Scott Glenn,6.1,5100000.0,97.0
Seems Like Old Times,PG,1980-12-19,Comedy,Jay Sandrich,Neil Simon,Goldie Hawn,6.7,0.0,102.0
Private Benjamin,R,1980-10-10,Comedy,Howard Zieff,Nancy Meyers,Goldie Hawn,6.2,10000000.0,109.0
The Hollywood Knights,R,1980-05-30,Comedy,Floyd Mutrux,Floyd Mutrux,Tony Danza,6.3,4000000.0,91.0
Motel Hell,R,1980-10-24,Comedy,Kevin Connor,Robert Jaffe,Rory Calhoun,6.0,3000000.0,101.0
The Jazz Singer,PG,1980-12-19,Drama,Richard Fleischer,Samson Raphaelson,Laurence Olivier,5.9,0.0,115.0
Coal Miner's Daughter,PG,1980-03-07,Biography,Michael Apted,Thomas Rickman,Sissy Spacek,7.5,0.0,124.0
The Watcher in the Woods,PG,1981-10-09,Family,John Hough,Brian Clemens,Bette Davis,6.3,0.0,84.0
Breaker Morant,PG,1980-07-03,Drama,Bruce Beresford,Jonathan Hardy,Edward Woodward,7.9,0.0,107.0
The Stunt Man,R,1980-06-27,Action,Richard Rush,Lawrence B. Marcus,Peter O'Toole,7.1,3500000.0,131.0
Where the Buffalo Roam,R,1980-04-25,Biography,Art Linson,Hunter S. Thompson,Peter Boyle,6.6,0.0,99.0
The Awakening,R,1980-10-31,Horror,Mike Newell,Allan Scott,Charlton Heston,4.8,0.0,101.0
Cheech and Chong's Next Movie,R,1980-07-18,Comedy,Tommy Chong,Tommy Chong,Cheech Marin,6.1,0.0,99.0
The Island,R,1980-06-13,Action,Michael Ritchie,Peter Benchley,Michael Caine,5.3,22000000.0,109.0
The Boogey Man,R,1980-11-07,Horror,Ulli Lommel,Ulli Lommel,Suzanna Love,4.6,300000.0,82.0
The Nude Bomb,PG,1980-05-09,Action,Clive Donner,Mel Brooks,Don Adams,5.1,15000000.0,94.0
Lion of the Desert,PG,1981-05-16,Biography,Moustapha Akkad,David Butler,Anthony Quinn,8.3,35000000.0,173.0
Stardust Memories,PG,1980-09-26,Comedy,Woody Allen,Woody Allen,Woody Allen,7.3,10000000.0,89.0
Melvin and Howard,R,1980-09-19,Comedy,Jonathan Demme,Bo Goldman,Paul Le Mat,6.8,7000000.0,95.0
Can't Stop the Music,PG,1980-06-20,Biography,Nancy Walker,Bronte Woodard,Ray Simpson,4.2,20000000.0,124.0
Bronco Billy,PG,1980-06-11,Action,Clint Eastwood,Dennis Hackin,Clint Eastwood,6.1,6500000.0,116.0
City of Women,R,1981-04-08,Comedy,Federico Fellini,Federico Fellini,Marcello Mastroianni,7.0,0.0,139.0
The Private Eyes,PG,1980-11-21,Comedy,Lang Elliott,Tim Conway,Tim Conway,6.7,0.0,91.0
When Time Ran Out...,PG,1980-03-28,Action,James Goldstone,Gordon Thomas,Paul Newman,4.6,20000000.0,121.0
Oh Heavenly Dog,PG,1980-07-11,Comedy,Joe Camp,Rod Browning,Chevy Chase,5.4,6000000.0,103.0
The Octagon,R,1980-08-15,Action,Eric Karson,Leigh Chapman,Chuck Norris,5.1,4000000.0,103.0
Hangar 18,PG,1981-03-13,Sci-Fi,James L. Conway,Ken Pettus,Darren McGavin,5.3,11000000.0,97.0
Herbie Goes Bananas,G,1980-06-25,Adventure,Vincent McEveety,Don Tait,Charles Martin Smith,5.0,0.0,100.0
The Competition,PG,1980-12-03,Drama,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,6.7,0.0,123.0
It's My Turn,R,1981-02-05,Comedy,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,5.5,0.0,91.0
Honeysuckle Rose,PG,1980-07-18,Drama,Jerry Schatzberg,Gösta Stevens,Willie Nelson,6.3,0.0,119.0
Resurrection,PG,1980-09-26,Drama,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,7.3,0.0,103.0
Fatso,PG,1980-02-01,Comedy,Anne Bancroft,Anne Bancroft,Dom DeLuise,6.3,0.0,93.0
Moscow Does Not Believe in Tears,PG,1980-02-11,Comedy,Vladimir Menshov,Valentin Chernykh,Vera Alentova,8.1,900000.0,150.0
The Fiendish Plot of Dr. Fu Manchu,PG,1980-08-08,Comedy,Piers Haggard,Rudy Dochtermann,Peter Sellers,5.1,0.0,100.0
Serial,R,1980-03-28,Comedy,Bill Persky,Cyra McFadden,Martin Mull,6.6,0.0,86.0
Hero at Large,PG,1980-02-08,Comedy,Martin Davidson,AJ Carothers,John Ritter,6.0,0.0,98.0
Wholly Moses!,PG,1980-06-13,Comedy,Gary Weis,Guy Thomas,Dudley Moore,4.7,0.0,103.0
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,1980-05-30,Animation,Bill Melendez,Charles M. Schulz,Scott Beach,7.3,0.0,75.0
In God We Trust (or Gimme That Prime Time Religion),PG,1980-09-26,Comedy,Marty Feldman,Marty Feldman,Marty Feldman,5.5,0.0,97.0
Roadie,PG,1980-06-13,Comedy,Alan Rudolph,Big Boy Medlin,Meat Loaf,5.2,0.0,106.0
Just Tell Me What You Want,R,1980-01-18,Comedy,Sidney Lumet,Jay Presson Allen,Ali MacGraw,5.5,0.0,112.0
The Last Flight of Noah's Ark,G,1980-06-25,Adventure,Charles Jarrott,Ernest K. Gann,Elliott Gould,5.8,6000000.0,97.0
Little Miss Marker,PG,1980-03-21,Comedy,Walter Bernstein,Damon Runyon,Walter Matthau,6.3,0.0,103.0
Willie & Phil,R,1980-08-15,Comedy,Paul Mazursky,Jean Gruault,Michael Ontkean,5.9,5500000.0,115.0
Babylon,0,1980-11-01,Drama,Franco Rosso,Franco Rosso,David N. Haynes,7.4,0.0,95.0
Windwalker,PG,1983-11-18,Adventure,Kieth Merrill,Ray Goldrup,Trevor Howard,6.9,3000000.0,108.0
Phobia,R,1980-09-09,Drama,John Huston,Gary Sherman,Paul Michael Glaser,4.0,5100000.0,94.0
Windows,R,1980-01-18,Drama,Gordon Willis,Barry Siegel,Talia Shire,4.8,0.0,96.0
Loving Couples,PG,1980-10-24,Comedy,Jack Smight,Martin Donovan,Shirley MacLaine,5.2,0.0,97.0
The King and the Mockingbird,Not Rated,1980-03-19,Animation,Paul Grimault,Hans Christian Andersen,Jean Martin,7.9,0.0,83.0
"Oh, God! Book II",PG,1980-10-03,Comedy,Gilbert Cates,Josh Greenfeld,George Burns,5.2,0.0,94.0
"Those Lips, Those Eyes",R,1980-08-15,Comedy,Michael Pressman,David Shaber,Frank Langella,6.5,0.0,105.0
La Cage aux Folles II,R,1981-02-15,Comedy,Édouard Molinaro,Jean Poiret,Michel Serrault,5.8,0.0,102.0
The Gong Show Movie,R,1980-05-23,Comedy,Chuck Barris,Chuck Barris,Chuck Barris,4.3,0.0,89.0
Gilda Live,R,1980-03-28,Comedy,Mike Nichols,Anne Beatts,Gilda Radner,6.8,0.0,96.0
Why Would I Lie?,PG,1980-08-08,Comedy,Larry Peerce,Hollis Hodges,Treat Williams,6.5,0.0,105.0
First Family,R,1980-12-25,Comedy,Buck Henry,Buck Henry,Bob Newhart,4.3,0.0,97.0
Mantis Fist Fighter,0,1982-07-09,Action,Wing-Cho Yip,Hsin-Yi Chang,Ka-Yan Leung,6.7,0.0,89.0
Indiana Jones and the Raiders of the Lost Ark,PG,1981-06-12,Action,Steven Spielberg,Lawrence Kasdan,Harrison Ford,8.4,18000000.0,115.0
Body Heat,R,1981-08-28,Crime,Lawrence Kasdan,Lawrence Kasdan,William Hurt,7.4,0.0,113.0
An American Werewolf in London,R,1981-08-21,Comedy,John Landis,John Landis,David Naughton,7.5,10000000.0,97.0
Escape from New York,R,1981-07-10,Action,John Carpenter,John Carpenter,Kurt Russell,7.2,6000000.0,99.0
The Evil Dead,NC-17,1983-04-15,Horror,Sam Raimi,Sam Raimi,Bruce Campbell,7.5,350000.0,85.0
Porky's,R,1982-03-19,Comedy,Bob Clark,Bob Clark,Dan Monahan,6.2,2500000.0,94.0
Blow Out,R,1981-07-24,Crime,Brian De Palma,Brian De Palma,John Travolta,7.4,18000000.0,108.0
Clash of the Titans,PG,1981-06-12,Action,Desmond Davis,Beverley Cross,Laurence Olivier,6.9,15000000.0,118.0
Excalibur,R,1981-04-10,Adventure,John Boorman,Thomas Malory,Nigel Terry,7.4,11000000.0,140.0
Mad Max 2,R,1982-05-21,Action,George Miller,Terry Hayes,Mel Gibson,7.6,3000000.0,96.0
Das Boot,0,1982-02-10,Adventure,Wolfgang Petersen,Wolfgang Petersen,Jürgen Prochnow,8.3,0.0,149.0
Stripes,R,1981-06-26,Comedy,Ivan Reitman,Len Blum,Bill Murray,6.9,10000000.0,106.0
Possession,R,1983-10-28,Drama,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,7.4,0.0,124.0
The Cannonball Run,PG,1981-06-19,Action,Hal Needham,Brock Yates,Burt Reynolds,6.2,18000000.0,95.0
Thief,R,1981-03-27,Action,Michael Mann,Frank Hohimer,James Caan,7.4,5500000.0,123.0
Endless Love,R,1981-07-17,Drama,Franco Zeffirelli,Scott Spencer,Brooke Shields,4.9,0.0,116.0
Time Bandits,PG,1981-11-06,Adventure,Terry Gilliam,Michael Palin,Sean Connery,7.0,5000000.0,110.0
The Four Seasons,PG,1981-05-22,Comedy,Alan Alda,Alan Alda,Alan Alda,6.8,0.0,107.0
Friday the 13th Part 2,R,1981-05-01,Horror,Steve Miner,Ron Kurz,Betsy Palmer,6.1,1250000.0,87.0
Scanners,R,1981-01-14,Horror,David Cronenberg,David Cronenberg,Jennifer O'Neill,6.8,0.0,103.0
For Your Eyes Only,PG,1981-06-26,Action,John Glen,Richard Maibaum,Roger Moore,6.7,28000000.0,127.0
Halloween II,R,1981-10-30,Horror,Rick Rosenthal,John Carpenter,Jamie Lee Curtis,6.5,2500000.0,92.0
Taps,PG,1981-12-25,Drama,Harold Becker,Darryl Ponicsan,George C. Scott,6.8,14000000.0,126.0
Reds,PG,1981-12-25,Biography,Warren Beatty,Warren Beatty,Warren Beatty,7.3,32000000.0,195.0
On Golden Pond,PG,1982-02-12,Drama,Mark Rydell,Ernest Thompson,Katharine Hepburn,7.6,0.0,109.0
The Fox and the Hound,G,1981-07-10,Animation,Directors,Daniel P. Mannix,Mickey Rooney,7.3,12000000.0,83.0
Chariots of Fire,PG,1982-04-09,Biography,Hugh Hudson,Colin Welland,Ben Cross,7.2,5500000.0,125.0
Absence of Malice,PG,1981-12-18,Drama,Sydney Pollack,Kurt Luedtke,Paul Newman,6.9,12000000.0,116.0
Tarzan the Ape Man,Approved,1981-07-24,Adventure,John Derek,Tom Rowe,Bo Derek,3.4,6500000.0,115.0
Victory,PG,1981-07-31,Drama,John Huston,Yabo Yablonsky,Michael Caine,6.7,10000000.0,116.0
