,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Poster,Metascore,imdbRating,BoxOffice,Production
0,Scream,2022,R,14 Jan 2022,114 min,"Horror, Mystery, Thriller","Matt Bettinelli-Olpin, Tyler Gillett","James Vanderbilt, Guy Busick, Kevin Williamson","Neve Campbell, Courteney Cox, David Arquette","Twenty-five years after the original series of murders in Woodsboro, a new Ghostface emerges, and Sidney Prescott must return to uncover the truth.",English,https://m.media-amazon.com/images/M/MV5BM2E4ZGFmZTgtMDVkYS00ZTk0LWIzYWMtODk5OGVmYmEyMzEzXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,60,7.0,"$74,568,594",N/A
1,Uncharted,2022,PG-13,18 Feb 2022,116 min,"Action, Adventure",Ruben Fleischer,"Rafe Judkins, Art Marcum, Matt Holloway","Tom Holland, Mark Wahlberg, Antonio Banderas","Street-smart Nathan Drake, is recruited by seasoned treasure hunter, Victor ""Sully"" Sullivan, to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",English,https://m.media-amazon.com/images/M/MV5BOTNkN2ZmMzItOTAwMy00MmM5LTg5YTgtNmE5MThkMDE2ODJiXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,42,6.9,N/A,Columbia Pictures
2,Jackass Forever,2022,R,04 Feb 2022,96 min,"Documentary, Action, Comedy",Jeff Tremaine,"Jason 'Wee Man' Acuña, Eric André, Derrick Beckles","Johnny Knoxville, Steve-O, Chris Pontius","After 11 years, the Jackass crew is back for their final crusade.",English,https://m.media-amazon.com/images/M/MV5BMjY3OTBlODktYzliNS00Y2VkLWJhZjktZDcwY2E2YzhmOThhXkEyXkFqcGdeQXVyOTg4MDMxODM@._V1_SX300.jpg,74,7.6,"$41,543,627",N/A
3,Death on the Nile,2022,PG-13,11 Feb 2022,127 min,"Crime, Drama, Mystery",Kenneth Branagh,"Michael Green, Agatha Christie","Tom Bateman, Annette Bening, Kenneth Branagh","While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",English,https://m.media-amazon.com/images/M/MV5BNjI4ZTQ1OTYtNTI0Yi00M2EyLThiNjMtMzk1MmZlOWMyMDQwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,53,6.7,"$12,800,000",N/A
4,Dog,2022–,N/A,N/A,N/A,Thriller,N/A,N/A,"Devin Montgomery, Brandon L. Smith","After searching for a very long time for the man who caused a tragic event in his life, Lucas is finally face to face with him in an abandoned warehouse and wants answers. During their confrontation, Lucas gets a call that sets off a",English,https://m.media-amazon.com/images/M/MV5BZTNkYmYwNTEtNWI1OC00YmEzLTg4ODAtODBmNzFjMzcwZjE4XkEyXkFqcGdeQXVyMTc3MTY1OTg@._V1_SX300.jpg,N/A,N/A,"$15,153,549",N/A
5,Moonfall,2022,PG-13,04 Feb 2022,130 min,"Action, Adventure, Sci-Fi",Roland Emmerich,"Roland Emmerich, Harald Kloser, Spenser Cohen","Halle Berry, Patrick Wilson, John Bradley",A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,"English, Chinese",https://m.media-amazon.com/images/M/MV5BZjk0OWZiN2ItNmQ2YS00NTJmLTg0MjItNzM4NzBkMWM1ZTRlXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,41,5.3,"$13,122,665",N/A
6,Marry Me,2022,PG-13,11 Feb 2022,112 min,"Comedy, Music, Romance",Kat Coiro,"John Rogers, Tami Sagher, Harper Dill","Jennifer Lopez, Owen Wilson, Maluma","Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, inst",English,https://m.media-amazon.com/images/M/MV5BMjczZjI2M2UtOGMwOS00YWFhLTg0OTYtZDY5ZWIwNjhlOWI2XkEyXkFqcGdeQXVyMTQzNTA5MzYz._V1_SX300.jpg,50,6.2,"$14,427,585",N/A
7,The 355,2022,PG-13,07 Jan 2022,122 min,"Action, Thriller",Simon Kinberg,"Theresa Rebeck, Simon Kinberg","Jessica Chastain, Penélope Cruz, Bingbing Fan","When a top-secret weapon falls into mercenary hands, a wild card CIA agent joins forces with three international agents on a lethal mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every m","English, Chinese, Spanish, French, German, Arabic",https://m.media-amazon.com/images/M/MV5BNzk4MDZhNTctMDA3OC00ODdkLWIyOWYtN2M0MzA3MDY5NDk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,40,5.0,"$4,400,380",N/A
8,Redeeming Love,2022,PG-13,21 Jan 2022,134 min,"Drama, History, Romance",D.J. Caruso,"Francine Rivers, D.J. Caruso","Abigail Cowen, Tom Lewis, Famke Janssen","Sold into prostitution as a child, Angel knows nothing but betrayal. Can her heart ever be mended? Based upon the novel by Francine Rivers.",English,https://m.media-amazon.com/images/M/MV5BMTMxMmRmMWUtNGNhZS00MWYxLTkwNzUtM2QwNzI4MGU1ZTI2XkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_SX300.jpg,32,6.9,N/A,N/A
9,Blacklight,2022,PG-13,11 Feb 2022,108 min,"Action, Thriller",Mark Williams,"Nick May, Mark Williams, Brandon Reavis","Liam Neeson, Aidan Quinn, Taylor John Smith","Travis Block is a government operative coming to terms with his shadowy past. When he discovers a plot targeting U.S. citizens, Block finds himself in the crosshairs of the FBI director he once helped protect.",English,https://m.media-amazon.com/images/M/MV5BY2ViYmNhNzEtZDJhNS00YzM4LTkzZWItZDJiNzc5ZDExOWZmXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,N/A,N/A,"$1,471,504",N/A
