movie_id,title,movie_rating,genre_name,imdb_rating,director,writer,actors,box_office,run_time,release_date,meta_score
0,The Batman,PG-13,"Action, Crime, Drama",0.0,Matt Reeves,"Matt Reeves, Peter Craig, Bob Kane","Zoë Kravitz, Robert Pattinson, Barry Keoghan",0.0,175,2022-03-04,0.0
1,A Day to Die,0,Action,0.0,Wes Miller,"Rab Berry, Scott Mallace","Bruce Willis, Frank Grillo, Kevin Dillon",0.0,0,1970-01-01,0.0
2,He Was Asking for It: A Noir Film,0,"Short, Crime",0.0,Rocky Karlage,"Rocky Karlage, Staci Layne Wilson","Rocky Karlage, Patrick Lamba, Charlie Jiin",0.0,0,2022-04-30,0.0
3,Tyson's Run,PG,Drama,0.0,Kim Bass,Kim Bass,"Major Dodson, Amy Smart, Barkhad Abdi",0.0,103,2022-03-11,0.0
4,X,R,Horror,0.0,Ti West,Ti West,"Jenna Ortega, Mia Goth, Brittany Snow",0.0,0,2022-03-18,0.0
5,Operation Fortune: Ruse de guerre,0,"Action, Comedy, Thriller",0.0,Guy Ritchie,"Ivan Atkinson, Marn Davies, Guy Ritchie","Jason Statham, Josh Hartnett, Aubrey Plaza",0.0,0,2022-03-18,0.0
6,The Outfit,R,"Crime, Drama",0.0,Graham Moore,"Johnathan McClain, Graham Moore","Mark Rylance, Zoey Deutch, Dylan O'Brien",0.0,105,2022-03-18,0.0
7,Cheaper by the Dozen,PG,"Adventure, Comedy, Family",0.0,Gail Lerner,"Kenya Barris, Ernestine Gilbreth Carey, Frank B. Gilbreth Jr.","Gabrielle Union, Zach Braff, Brittany Daniel",0.0,0,2022-03-18,0.0
8,Alice,0,Drama,5.3,Krystin Ver Linden,Krystin Ver Linden,"Keke Palmer, Common, Jonny Lee Miller",0.0,100,2022-03-18,54.0
9,The Unbreakable Boy,PG,Drama,0.0,Jon Gunn,Jon Gunn,"Zachary Levi, Amy Acker, Peter Facinelli",0.0,0,2022-03-18,0.0
10,Umma,0,Horror,0.0,Iris K. Shim,Iris K. Shim,"Dermot Mulroney, Odeya Rush, Sandra Oh",0.0,0,2022-03-18,0.0
11,The Lost City,0,"Action, Adventure, Comedy",0.0,"Aaron Nee, Adam Nee","Oren Uziel, Dana Fox, Adam Nee","Sandra Bullock, Brad Pitt, Channing Tatum",0.0,92,2022-03-25,0.0
12,The Duke of Marylebone,0,Comedy,0.0,Mitch Riverman,Mitch Riverman,"Ninette Finch, Lily Smith, Mark Joseph",0.0,100,2022-06-29,0.0
13,Everything Everywhere All at Once,R,"Action, Adventure, Comedy",0.0,"Dan Kwan, Daniel Scheinert","Dan Kwan, Daniel Scheinert","Jenny Slate, Michelle Yeoh, Jamie Lee Curtis",0.0,140,2022-03-25,0.0
14,Morbius,PG-13,"Action, Adventure, Drama",0.0,Daniel Espinosa,"Matt Sazama, Burk Sharpless, Roy Thomas","Jared Leto, Michael Keaton, Adria Arjona",0.0,108,2022-04-01,0.0
15,The Contractor,R,"Action, Thriller",0.0,Tarik Saleh,J.P. Davis,"Chris Pine, Gillian Jacobs, Ben Foster",0.0,0,2022-04-01,0.0
16,You Won't Be Alone,R,"Drama, Horror",6.8,Goran Stolevski,Goran Stolevski,"Noomi Rapace, Alice Englert, Anamaria Marinca",0.0,108,2022-04-01,75.0
17,Iris Warriors,0,"Family, Fantasy, Musical",5.1,Roydon Turner,"Don Macnab-Stark, Roydon Turner","Jessica Brown Findlay, Cindy Okkers, Sven-Eric Muller",0.0,80,2022-04-02,0.0
