movie_id,title,movie_rating,release_date,run_time,meta_score,imdb_rating,box_office
1,The Shining,R,1980-06-13,146.0,0.0,8.4,46998772.0
2,The Blue Lagoon,R,1980-07-02,104.0,0.0,5.8,58853106.0
3,Star Wars: Episode V - The Empire Strikes Back,PG,1980-06-20,124.0,0.0,8.7,538375067.0
4,Airplane!,PG,1980-07-02,88.0,0.0,7.7,83453539.0
5,Caddyshack,R,1980-07-25,98.0,0.0,7.3,39846344.0
6,Friday the 13th,R,1980-05-09,95.0,0.0,6.4,39754601.0
7,The Blues Brothers,R,1980-06-20,133.0,0.0,7.9,115229890.0
8,Raging Bull,R,1980-12-19,129.0,0.0,8.2,23402427.0
9,Superman II,PG,1981-06-19,127.0,0.0,6.8,108185706.0
10,The Long Riders,R,1980-05-16,100.0,0.0,7.0,15795189.0
11,Any Which Way You Can,PG,1980-12-17,116.0,0.0,6.1,70687344.0
12,The Gods Must Be Crazy,PG,1984-10-26,109.0,0.0,7.3,30031783.0
13,Popeye,PG,1980-12-12,114.0,0.0,5.3,49823037.0
14,Ordinary People,R,1980-09-19,124.0,0.0,7.7,54766923.0
15,Dressed to Kill,R,1980-07-25,104.0,0.0,7.1,31899000.0
16,Somewhere in Time,PG,1980-10-03,103.0,0.0,7.2,9709597.0
17,Fame,R,1980-05-16,134.0,0.0,6.6,21202829.0
18,9 to 5,PG,1980-12-19,109.0,0.0,6.9,103300686.0
19,The Fog,R,1980-02-08,89.0,0.0,6.8,21448782.0
20,Stir Crazy,R,1980-12-12,111.0,0.0,6.8,101300000.0
21,Cruising,R,1980-02-15,102.0,0.0,6.5,19814523.0
22,Heaven's Gate,R,1981-04-24,219.0,0.0,6.8,3484523.0
23,The Final Countdown,PG,1980-08-01,103.0,0.0,6.7,16647800.0
24,Xanadu,PG,1980-08-08,96.0,0.0,5.3,22762571.0
25,Urban Cowboy,PG,1980-06-06,132.0,0.0,6.4,46918287.0
26,Altered States,R,1980-12-25,102.0,0.0,6.9,19853892.0
27,Little Darlings,R,1980-03-21,96.0,0.0,6.5,34326249.0
28,Raise the Titanic,PG,1980-08-01,115.0,0.0,5.0,0.0
29,Brubaker,R,1980-06-20,131.0,0.0,7.2,37121708.0
30,American Gigolo,R,1980-02-01,117.0,0.0,6.2,22743674.0
31,My Bodyguard,PG,1980-09-26,102.0,0.0,7.1,22482952.0
32,Prom Night,R,1980-07-18,92.0,0.0,5.4,14796236.0
33,Smokey and the Bandit II,PG,1980-08-15,100.0,0.0,5.3,66132626.0
34,Cattle Annie and Little Britches,PG,1981-04-24,97.0,0.0,6.1,534816.0
35,Seems Like Old Times,PG,1980-12-19,102.0,0.0,6.7,43995918.0
36,Private Benjamin,R,1980-10-10,109.0,0.0,6.2,69847348.0
37,The Hollywood Knights,R,1980-05-30,91.0,0.0,6.3,10000000.0
38,Motel Hell,R,1980-10-24,101.0,0.0,6.0,6342668.0
39,The Jazz Singer,PG,1980-12-19,115.0,0.0,5.9,27118000.0
40,Coal Miner's Daughter,PG,1980-03-07,124.0,0.0,7.5,67182787.0
41,The Watcher in the Woods,PG,1981-10-09,84.0,0.0,6.3,5000000.0
42,Breaker Morant,PG,1980-07-03,107.0,0.0,7.9,0.0
43,The Stunt Man,R,1980-06-27,131.0,0.0,7.1,7063886.0
44,Where the Buffalo Roam,R,1980-04-25,99.0,0.0,6.6,6659377.0
45,The Awakening,R,1980-10-31,101.0,0.0,4.8,8415112.0
46,Cheech and Chong's Next Movie,R,1980-07-18,99.0,0.0,6.1,41675194.0
47,The Island,R,1980-06-13,109.0,0.0,5.3,15716828.0
48,The Boogey Man,R,1980-11-07,82.0,0.0,4.6,0.0
49,The Nude Bomb,PG,1980-05-09,94.0,0.0,5.1,14662035.0
50,Lion of the Desert,PG,1981-05-16,173.0,0.0,8.3,0.0
51,Stardust Memories,PG,1980-09-26,89.0,0.0,7.3,10389003.0
52,Melvin and Howard,R,1980-09-19,95.0,0.0,6.8,4309490.0
53,Can't Stop the Music,PG,1980-06-20,124.0,0.0,4.2,0.0
54,Bronco Billy,PG,1980-06-11,116.0,0.0,6.1,24265659.0
55,City of Women,R,1981-04-08,139.0,0.0,7.0,12516.0
56,The Private Eyes,PG,1980-11-21,91.0,0.0,6.7,0.0
57,When Time Ran Out...,PG,1980-03-28,121.0,0.0,4.6,3763988.0
58,Oh Heavenly Dog,PG,1980-07-11,103.0,0.0,5.4,6216067.0
59,The Octagon,R,1980-08-15,103.0,0.0,5.1,18971000.0
60,Hangar 18,PG,1981-03-13,97.0,0.0,5.3,0.0
61,Herbie Goes Bananas,G,1980-06-25,100.0,0.0,5.0,18000000.0
62,The Competition,PG,1980-12-03,123.0,0.0,6.7,14287755.0
63,It's My Turn,R,1981-02-05,91.0,0.0,5.5,0.0
64,Honeysuckle Rose,PG,1980-07-18,119.0,0.0,6.3,17815212.0
65,Resurrection,PG,1980-09-26,103.0,0.0,7.3,3910019.0
66,Fatso,PG,1980-02-01,93.0,0.0,6.3,7653061.0
67,Moscow Does Not Believe in Tears,PG,1980-02-11,150.0,0.0,8.1,0.0
68,The Fiendish Plot of Dr. Fu Manchu,PG,1980-08-08,100.0,0.0,5.1,10697276.0
69,Serial,R,1980-03-28,86.0,0.0,6.6,9870727.0
70,Hero at Large,PG,1980-02-08,98.0,0.0,6.0,15934737.0
71,Wholly Moses!,PG,1980-06-13,103.0,0.0,4.7,14155617.0
72,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,1980-05-30,75.0,0.0,7.3,2013193.0
73,In God We Trust (or Gimme That Prime Time Religion),PG,1980-09-26,97.0,0.0,5.5,5215015.0
74,Roadie,PG,1980-06-13,106.0,0.0,5.2,4226370.0
75,Just Tell Me What You Want,R,1980-01-18,112.0,0.0,5.5,2086905.0
76,The Last Flight of Noah's Ark,G,1980-06-25,97.0,0.0,5.8,11000000.0
77,Little Miss Marker,PG,1980-03-21,103.0,0.0,6.3,6321392.0
78,Willie & Phil,R,1980-08-15,115.0,0.0,5.9,4400000.0
79,Babylon,,1980-11-01,95.0,0.0,7.4,109749.0
80,Windwalker,PG,1983-11-18,108.0,0.0,6.9,0.0
81,Phobia,R,1980-09-09,94.0,0.0,4.0,59167.0
82,Windows,R,1980-01-18,96.0,0.0,4.8,2128395.0
83,Loving Couples,PG,1980-10-24,97.0,0.0,5.2,2806659.0
84,The King and the Mockingbird,Not Rated,1980-03-19,83.0,0.0,7.9,167451.0
85,"Oh, God! Book II",PG,1980-10-03,94.0,0.0,5.2,14504277.0
86,"Those Lips, Those Eyes",R,1980-08-15,105.0,0.0,6.5,804713.0
87,La Cage aux Folles II,R,1981-02-15,102.0,0.0,5.8,6950125.0
88,The Gong Show Movie,R,1980-05-23,89.0,0.0,4.3,6621520.0
89,Gilda Live,R,1980-03-28,96.0,0.0,6.8,2261507.0
90,Why Would I Lie?,PG,1980-08-08,105.0,0.0,6.5,1175855.0
91,First Family,R,1980-12-25,97.0,0.0,4.3,15198912.0
92,Mantis Fist Fighter,,1982-07-09,89.0,0.0,6.7,0.0
93,Indiana Jones and the Raiders of the Lost Ark,PG,1981-06-12,115.0,0.0,8.4,389925971.0
94,Body Heat,R,1981-08-28,113.0,0.0,7.4,24058838.0
95,An American Werewolf in London,R,1981-08-21,97.0,0.0,7.5,30669378.0
96,Escape from New York,R,1981-07-10,99.0,0.0,7.2,25244626.0
97,The Evil Dead,NC-17,1983-04-15,85.0,0.0,7.5,2956630.0
98,Porky's,R,1982-03-19,94.0,0.0,6.2,111289673.0
99,Blow Out,R,1981-07-24,108.0,0.0,7.4,12000000.0
100,Clash of the Titans,PG,1981-06-12,118.0,0.0,6.9,41092328.0
101,Excalibur,R,1981-04-10,140.0,0.0,7.4,34971136.0
102,Mad Max 2,R,1982-05-21,96.0,0.0,7.6,23668369.0
103,Das Boot,,1982-02-10,149.0,0.0,8.3,11487676.0
104,Stripes,R,1981-06-26,106.0,0.0,6.9,85297000.0
105,Possession,R,1983-10-28,124.0,0.0,7.4,1113538.0
106,The Cannonball Run,PG,1981-06-19,95.0,0.0,6.2,72179579.0
107,Thief,R,1981-03-27,123.0,0.0,7.4,11492915.0
108,Endless Love,R,1981-07-17,116.0,0.0,4.9,32492674.0
109,Time Bandits,PG,1981-11-06,110.0,0.0,7.0,42368025.0
110,The Four Seasons,PG,1981-05-22,107.0,0.0,6.8,50427646.0
111,Friday the 13th Part 2,R,1981-05-01,87.0,0.0,6.1,21722776.0
112,Scanners,R,1981-01-14,103.0,0.0,6.8,14225876.0
113,For Your Eyes Only,PG,1981-06-26,127.0,0.0,6.7,54813222.0
114,Halloween II,R,1981-10-30,92.0,0.0,6.5,25533818.0
115,Taps,PG,1981-12-25,126.0,0.0,6.8,35856053.0
116,Reds,PG,1981-12-25,195.0,0.0,7.3,40382659.0
117,On Golden Pond,PG,1982-02-12,109.0,0.0,7.6,119285432.0
118,The Fox and the Hound,G,1981-07-10,83.0,0.0,7.3,63456988.0
119,Chariots of Fire,PG,1982-04-09,125.0,0.0,7.2,59303359.0
120,Absence of Malice,PG,1981-12-18,116.0,0.0,6.9,40716963.0
121,Tarzan the Ape Man,Approved,1981-07-24,115.0,0.0,3.4,36565280.0
122,Victory,PG,1981-07-31,116.0,0.0,6.7,10853418.0
123,Arthur,PG,1981-07-17,97.0,0.0,6.9,95461682.0
124,My Dinner with Andre,PG,1981-10-11,110.0,0.0,7.8,5073.0
125,Caveman,PG,1981-04-17,91.0,0.0,5.8,15965924.0
126,Dead & Buried,R,1981-10-09,94.0,0.0,6.6,0.0
127,History of the World: Part I,R,1981-06-12,92.0,0.0,6.9,31672907.0
128,The Howling,R,1981-04-10,91.0,0.0,6.6,17985893.0
129,Dragonslayer,PG,1981-06-26,109.0,0.0,6.7,14110013.0
130,Cutter's Way,R,1982-02-10,109.0,0.0,6.9,1752634.0
131,Quest for Fire,R,1982-02-12,100.0,0.0,7.3,20962615.0
132,The Final Conflict,R,1981-03-20,108.0,0.0,5.6,20471382.0
133,Mommie Dearest,R,1981-09-25,129.0,0.0,6.7,19032261.0
134,Private Lessons,R,1981-06-10,87.0,0.0,5.2,26279000.0
135,The Postman Always Rings Twice,R,1981-03-20,122.0,0.0,6.6,12376625.0
136,Ragtime,PG,1981-12-25,155.0,0.0,7.3,14920781.0
137,Deadly Blessing,R,1981-08-14,100.0,0.0,5.6,8279042.0
138,Eyewitness,R,1981-02-13,103.0,0.0,6.0,6400000.0
139,Gallipoli,PG,1981-08-28,110.0,0.0,7.4,5732587.0
140,Outland,R,1981-05-22,109.0,0.0,6.6,17374595.0
141,Southern Comfort,R,1981-09-25,106.0,0.0,7.2,0.0
142,S.O.B.,R,1981-07-01,122.0,0.0,6.4,14867086.0
143,The Beyond,R,1983-11-11,87.0,0.0,6.8,123843.0
144,Ghost Story,R,1981-12-18,110.0,0.0,6.3,23371905.0
145,My Bloody Valentine,R,1981-02-11,90.0,0.0,6.3,5672031.0
146,The Funhouse,R,1981-03-13,96.0,0.0,5.9,7886857.0
147,One from the Heart,R,1982-02-11,107.0,0.0,6.5,636796.0
148,The French Lieutenant's Woman,R,1981-10-16,124.0,0.0,7.0,26890068.0
149,The Great Muppet Caper,G,1981-06-26,97.0,0.0,7.2,31206251.0
150,True Confessions,R,1981-09-25,108.0,0.0,6.3,12850276.0
151,Looker,PG,1981-10-30,93.0,0.0,6.1,0.0
152,Nighthawks,R,1981-04-10,99.0,0.0,6.4,19905359.0
153,Nice Dreams,R,1981-06-05,88.0,0.0,6.2,37000000.0
154,Sharky's Machine,R,1981-12-18,122.0,0.0,6.3,35610100.0
155,Neighbors,R,1981-12-18,94.0,0.0,5.6,29916207.0
156,Puberty Blues,R,1981-12-10,87.0,0.0,5.9,237000.0
157,Eye of the Needle,R,1981-07-24,112.0,0.0,7.1,17583634.0
158,Wolfen,R,1981-07-24,115.0,0.0,6.3,10626725.0
159,Student Bodies,R,1981-08-07,86.0,0.0,5.5,5165432.0
160,Prince of the City,R,1981-08-26,167.0,0.0,7.5,8124257.0
161,The Hand,R,1981-04-24,104.0,0.0,5.5,2447576.0
162,Continental Divide,PG,1981-09-18,103.0,0.0,6.2,15578237.0
163,Diva,R,1982-04-23,117.0,0.0,7.2,110014.0
164,Venom,R,1982-01-29,92.0,0.0,5.8,5229643.0
165,Fort Apache the Bronx,R,1981-02-06,125.0,0.0,6.7,29200000.0
166,Eyes of a Stranger,R,1981-03-27,84.0,0.0,6.0,1118634.0
167,Zorro: The Gay Blade,PG,1981-07-17,93.0,0.0,6.2,0.0
168,Under the Rainbow,PG,1981-07-31,98.0,0.0,5.4,18826490.0
169,Carbon Copy,PG,1981-09-25,92.0,0.0,5.6,9566593.0
170,The Incredible Shrinking Woman,PG,1981-01-30,88.0,0.0,5.5,20259961.0
171,The Night the Lights Went Out in Georgia,PG,1981-06-05,112.0,0.0,6.0,14923752.0
172,Quartet,R,1981-10-25,101.0,0.0,6.3,12042.0
173,Graduation Day,R,1981-05-01,96.0,0.0,4.9,0.0
174,Modern Problems,PG,1981-12-25,93.0,0.0,5.1,26154211.0
175,Pennies from Heaven,R,1982-01-01,108.0,0.0,6.5,9171289.0
176,American Pop,R,1981-02-13,96.0,0.0,7.2,0.0
177,The Legend of the Lone Ranger,PG,1981-05-22,98.0,0.0,5.1,12617845.0
178,Sphinx,PG,1981-02-11,118.0,0.0,5.2,2022771.0
179,Night School,R,1981-09-11,88.0,0.0,5.6,1169875.0
180,An Eye for an Eye,R,1981-08-14,106.0,0.0,5.5,0.0
181,Zoot Suit,R,1982-01-01,103.0,0.0,6.8,3256082.0
182,Rich and Famous,R,1981-10-09,117.0,0.0,5.9,14492125.0
