person_id,name
0,Matt Reeves
1,Peter Craig
2,Bob Kane
3,Zoë Kravitz
4,Robert Pattinson
5,Barry Keoghan
6,Wes Miller
7,Rab Berry
8,Scott Mallace
9,Bruce Willis
10,Frank Grillo
11,Kevin Dillon
12,Rocky Karlage
13,Staci Layne Wilson
14,Patrick Lamba
15,Charlie Jiin
16,Kim Bass
17,Major Dodson
18,Amy Smart
19,Barkhad Abdi
20,Ti West
21,Jenna Ortega
22,Mia Goth
23,Brittany Snow
24,Guy Ritchie
25,Ivan Atkinson
26,Marn Davies
27,Jason Statham
28,Josh Hartnett
29,Aubrey Plaza
30,Graham Moore
31,Johnathan McClain
32,Mark Rylance
33,Zoey Deutch
34,Dylan O'Brien
35,Gail Lerner
36,Kenya Barris
37,Ernestine Gilbreth Carey
38,Frank B. Gilbreth Jr.
39,Gabrielle Union
40,Zach Braff
41,Brittany Daniel
42,Krystin Ver Linden
43,Keke Palmer
44,Common
45,Jonny Lee Miller
46,Jon Gunn
47,Zachary Levi
48,Amy Acker
49,Peter Facinelli
50,Iris K. Shim
51,Dermot Mulroney
52,Odeya Rush
53,Sandra Oh
54,Aaron Nee
55,Adam Nee
56,Oren Uziel
57,Dana Fox
58,Sandra Bullock
59,Brad Pitt
60,Channing Tatum
61,Mitch Riverman
62,Ninette Finch
63,Lily Smith
64,Mark Joseph
65,Dan Kwan
66,Daniel Scheinert
67,Jenny Slate
68,Michelle Yeoh
69,Jamie Lee Curtis
70,Daniel Espinosa
71,Matt Sazama
72,Burk Sharpless
73,Roy Thomas
74,Jared Leto
75,Michael Keaton
76,Adria Arjona
77,Tarik Saleh
78,J.P. Davis
79,Chris Pine
80,Gillian Jacobs
81,Ben Foster
82,Goran Stolevski
83,Noomi Rapace
84,Alice Englert
85,Anamaria Marinca
86,Roydon Turner
87,Don Macnab-Stark
88,Jessica Brown Findlay
89,Cindy Okkers
90,Sven-Eric Muller
91,Jeff Fowler
92,Pat Casey
93,Josh Miller
94,John Whittington
95,Ben Schwartz
96,Idris Elba
97,Colleen O'Shaughnessey
98,Michael Bay
99,Chris Fedak
100,Laurits Munch-Petersen
101,Lars Andreas Pedersen
102,Eiza González
103,Jake Gyllenhaal
104,Devan Chandler Long
105,Francisca Alegria
106,Manuela Infante
107,Fernanda Urrejola
108,Mía Maestro
109,Enzo Ferrada Rosati
110,Benjamin Soto
111,Rosalind Ross
112,Mark Wahlberg
113,Mel Gibson
114,Annet Mahendru
115,David Yates
