movie_id,title,movie_rating,release_date,run_time,meta_score,imdb_rating,box_office,director,writer,actor,Drama,Adventure,Action,Comedy,Horror,Biography,Crime,Fantasy,Family,Sci-Fi,Animation,Romance,Music,Western,Thriller,History,Mystery,Sport,Musical,Documentary,Short
1,The Shining,R,1980-06-13,146.0,0.0,8.4,46998772.0,Stanley Kubrick,Stephen King,Jack Nicholson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,The Blue Lagoon,R,1980-07-02,104.0,0.0,5.8,58853106.0,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Star Wars: Episode V - The Empire Strikes Back,PG,1980-06-20,124.0,0.0,8.7,538375067.0,Irvin Kershner,Leigh Brackett,Mark Hamill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Airplane!,PG,1980-07-02,88.0,0.0,7.7,83453539.0,Jim Abrahams,Jim Abrahams,Robert Hays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Caddyshack,R,1980-07-25,98.0,0.0,7.3,39846344.0,Harold Ramis,Brian Doyle-Murray,Chevy Chase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Friday the 13th,R,1980-05-09,95.0,0.0,6.4,39754601.0,Sean S. Cunningham,Victor Miller,Betsy Palmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,The Blues Brothers,R,1980-06-20,133.0,0.0,7.9,115229890.0,John Landis,Dan Aykroyd,John Belushi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Raging Bull,R,1980-12-19,129.0,0.0,8.2,23402427.0,Martin Scorsese,Jake LaMotta,Robert De Niro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Superman II,PG,1981-06-19,127.0,0.0,6.8,108185706.0,Richard Lester,Jerry Siegel,Gene Hackman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,The Long Riders,R,1980-05-16,100.0,0.0,7.0,15795189.0,Walter Hill,Bill Bryden,David Carradine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Any Which Way You Can,PG,1980-12-17,116.0,0.0,6.1,70687344.0,Buddy Van Horn,Stanford Sherman,Clint Eastwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,The Gods Must Be Crazy,PG,1984-10-26,109.0,0.0,7.3,30031783.0,Jamie Uys,Jamie Uys,N!xau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Popeye,PG,1980-12-12,114.0,0.0,5.3,49823037.0,Robert Altman,Jules Feiffer,Robin Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Ordinary People,R,1980-09-19,124.0,0.0,7.7,54766923.0,Robert Redford,Judith Guest,Donald Sutherland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Dressed to Kill,R,1980-07-25,104.0,0.0,7.1,31899000.0,Brian De Palma,Brian De Palma,Michael Caine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Somewhere in Time,PG,1980-10-03,103.0,0.0,7.2,9709597.0,Jeannot Szwarc,Richard Matheson,Christopher Reeve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Fame,R,1980-05-16,134.0,0.0,6.6,21202829.0,Alan Parker,Christopher Gore,Eddie Barth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9 to 5,PG,1980-12-19,109.0,0.0,6.9,103300686.0,Colin Higgins,Patricia Resnick,Jane Fonda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,The Fog,R,1980-02-08,89.0,0.0,6.8,21448782.0,John Carpenter,John Carpenter,Adrienne Barbeau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
