title,movie_rating,run_time,meta_score,imdb_rating,director,writer,actor,genre_name,Year,Predictions_BoxOffice,Predictions_Upcoming,label_boxoffice
The Shining,R,146.0,0.0,8.4,Stanley Kubrick,Stephen King,Jack Nicholson,Drama,1980,1.0,0.0,0.0
Superman II,PG,127.0,0.0,6.8,Richard Lester,Jerry Siegel,Gene Hackman,Action,1981,1.0,0.0,0.0
Dressed to Kill,R,104.0,0.0,7.1,Brian De Palma,Brian De Palma,Michael Caine,Crime,1980,1.0,0.0,0.0
Somewhere in Time,PG,103.0,0.0,7.2,Jeannot Szwarc,Richard Matheson,Christopher Reeve,Drama,1980,1.0,0.0,0.0
9 to 5,PG,109.0,0.0,6.9,Colin Higgins,Patricia Resnick,Jane Fonda,Comedy,1980,1.0,0.0,0.0
Stir Crazy,R,111.0,0.0,6.8,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,Comedy,1980,1.0,0.0,0.0
Xanadu,PG,96.0,0.0,5.3,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,Fantasy,1980,1.0,0.0,0.0
Prom Night,R,92.0,0.0,5.4,Paul Lynch,William Gray,Leslie Nielsen,Horror,1980,1.0,0.0,0.0
Motel Hell,R,101.0,0.0,6.0,Kevin Connor,Robert Jaffe,Rory Calhoun,Comedy,1980,1.0,0.0,0.0
Breaker Morant,PG,107.0,0.0,7.9,Bruce Beresford,Jonathan Hardy,Edward Woodward,Drama,1980,1.0,0.0,0.0
Cheech and Chong's Next Movie,R,99.0,0.0,6.1,Tommy Chong,Tommy Chong,Cheech Marin,Comedy,1980,1.0,0.0,0.0
The Nude Bomb,PG,94.0,0.0,5.1,Clive Donner,Mel Brooks,Don Adams,Action,1980,1.0,0.0,0.0
Stardust Memories,PG,89.0,0.0,7.3,Woody Allen,Woody Allen,Woody Allen,Comedy,1980,1.0,0.0,0.0
Melvin and Howard,R,95.0,0.0,6.8,Jonathan Demme,Bo Goldman,Paul Le Mat,Comedy,1980,1.0,0.0,0.0
When Time Ran Out...,PG,121.0,0.0,4.6,James Goldstone,Gordon Thomas,Paul Newman,Action,1980,1.0,0.0,0.0
Oh Heavenly Dog,PG,103.0,0.0,5.4,Joe Camp,Rod Browning,Chevy Chase,Comedy,1980,1.0,0.0,0.0
The Octagon,R,103.0,0.0,5.1,Eric Karson,Leigh Chapman,Chuck Norris,Action,1980,1.0,0.0,0.0
Hangar 18,PG,97.0,0.0,5.3,James L. Conway,Ken Pettus,Darren McGavin,Sci-Fi,1981,1.0,0.0,0.0
The Competition,PG,123.0,0.0,6.7,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Drama,1980,1.0,0.0,0.0
