movie_id,title,movie_rating,release_date,run_time,meta_score,imdb_rating,box_office,director,writer,actor,genre_name
1,The Shining,R,1980-06-13,146.0,0.0,8.4,46998772.0,Stanley Kubrick,Stephen King,Jack Nicholson,Drama
2,The Blue Lagoon,R,1980-07-02,104.0,0.0,5.8,58853106.0,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,Adventure
3,Star Wars: Episode V - The Empire Strikes Back,PG,1980-06-20,124.0,0.0,8.7,538375067.0,Irvin Kershner,Leigh Brackett,Mark Hamill,Action
4,Airplane!,PG,1980-07-02,88.0,0.0,7.7,83453539.0,Jim Abrahams,Jim Abrahams,Robert Hays,Comedy
5,Caddyshack,R,1980-07-25,98.0,0.0,7.3,39846344.0,Harold Ramis,Brian Doyle-Murray,Chevy Chase,Comedy
6,Friday the 13th,R,1980-05-09,95.0,0.0,6.4,39754601.0,Sean S. Cunningham,Victor Miller,Betsy Palmer,Horror
7,The Blues Brothers,R,1980-06-20,133.0,0.0,7.9,115229890.0,John Landis,Dan Aykroyd,John Belushi,Action
8,Raging Bull,R,1980-12-19,129.0,0.0,8.2,23402427.0,Martin Scorsese,Jake LaMotta,Robert De Niro,Biography
9,Superman II,PG,1981-06-19,127.0,0.0,6.8,108185706.0,Richard Lester,Jerry Siegel,Gene Hackman,Action
10,The Long Riders,R,1980-05-16,100.0,0.0,7.0,15795189.0,Walter Hill,Bill Bryden,David Carradine,Biography
11,Any Which Way You Can,PG,1980-12-17,116.0,0.0,6.1,70687344.0,Buddy Van Horn,Stanford Sherman,Clint Eastwood,Action
12,The Gods Must Be Crazy,PG,1984-10-26,109.0,0.0,7.3,30031783.0,Jamie Uys,Jamie Uys,N!xau,Adventure
13,Popeye,PG,1980-12-12,114.0,0.0,5.3,49823037.0,Robert Altman,Jules Feiffer,Robin Williams,Adventure
14,Ordinary People,R,1980-09-19,124.0,0.0,7.7,54766923.0,Robert Redford,Judith Guest,Donald Sutherland,Drama
15,Dressed to Kill,R,1980-07-25,104.0,0.0,7.1,31899000.0,Brian De Palma,Brian De Palma,Michael Caine,Crime
16,Somewhere in Time,PG,1980-10-03,103.0,0.0,7.2,9709597.0,Jeannot Szwarc,Richard Matheson,Christopher Reeve,Drama
17,Fame,R,1980-05-16,134.0,0.0,6.6,21202829.0,Alan Parker,Christopher Gore,Eddie Barth,Drama
18,9 to 5,PG,1980-12-19,109.0,0.0,6.9,103300686.0,Colin Higgins,Patricia Resnick,Jane Fonda,Comedy
19,The Fog,R,1980-02-08,89.0,0.0,6.8,21448782.0,John Carpenter,John Carpenter,Adrienne Barbeau,Horror
20,Stir Crazy,R,1980-12-12,111.0,0.0,6.8,101300000.0,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,Comedy
21,Cruising,R,1980-02-15,102.0,0.0,6.5,19814523.0,William Friedkin,William Friedkin,Al Pacino,Crime
22,Heaven's Gate,R,1981-04-24,219.0,0.0,6.8,3484523.0,Michael Cimino,Michael Cimino,Kris Kristofferson,Adventure
23,The Final Countdown,PG,1980-08-01,103.0,0.0,6.7,16647800.0,Don Taylor,Thomas Hunter,Kirk Douglas,Action
24,Xanadu,PG,1980-08-08,96.0,0.0,5.3,22762571.0,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,Fantasy
25,Urban Cowboy,PG,1980-06-06,132.0,0.0,6.4,46918287.0,James Bridges,Aaron Latham,John Travolta,Drama
26,Altered States,R,1980-12-25,102.0,0.0,6.9,19853892.0,Ken Russell,Paddy Chayefsky,William Hurt,Horror
27,Little Darlings,R,1980-03-21,96.0,0.0,6.5,34326249.0,Ron Maxwell,Kimi Peck,Tatum O'Neal,Comedy
28,Raise the Titanic,PG,1980-08-01,115.0,0.0,5.0,0.0,Jerry Jameson,Adam Kennedy,Jason Robards,Action
29,Brubaker,R,1980-06-20,131.0,0.0,7.2,37121708.0,Stuart Rosenberg,W.D. Richter,Robert Redford,Crime
